"TAGGS Recipient Search Export
Data Fiscal Year = 2020; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
CENTERSTONE OF INDIANA INC,70710942,BLOOMINGTON,IN,47403,MONROE,United States of America,Health Department,County Government,"$7,694,121 "
Porter County Substance Abuse Council,800794877,VALPARAISO,IN,46383,PORTER,United States of America,Other Health Organization,County Government,"$549,987 "
Carroll County Health Department,968471636,WESTMINSTER,MD,211575219,CARROLL,United States of America,Health Department,County Government,"$1,000,000 "
Clark County - Circuit Court #4,16049194,JEFFERSONVILLE,IN,47130,CLARK,United States of America,Health Department,County Government,"$424,840 "
IN ST BOARD OF HEALTH,824799407,INDIANAPOLIS,IN,462043003,MARION,United States of America,Health Department,State Government,"$331,806,051 "
IN ST DEPARTMENT OF MENTAL HEALTH,83384771,INDIANAPOLIS,IN,46204,MARION,United States of America,Other Health Organization,State Government,"$44,954,589 "
IN ST PROTECTION & ADVOCACY SERVICE COMMISSION,177603487,INDIANAPOLIS,IN,46205,MARION,United States of America,Other Health Organization,State Government,"$1,497,286 "
WAYNE COUNTY HEALTH DEPARTMENT,798954413,RICHMOND,IN,47374,WAYNE,United States of America,Health Department,County Government,"$59,536 "
"BATESVILLE, CITY OF",87438255,BATESVILLE,IN,470061345,RIPLEY,United States of America,Other Health Organization,City Government,"$85,980 "
GOOD SAMARITAN HOSPITAL,71320501,VINCENNES,IN,47591,KNOX,United States of America,Hospital,County Government,"$2,000,000 "
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY (THE),52952058,INDIANAPOLIS,IN,462052930,MARION,United States of America,Other Health Organization,County Government,"$16,687,535 "
EASTER SEALS METROPOLITAN CHICAGO,68497114,CHICAGO,IL,60604,COOK,United States of America,Other Health Organization,State Government,"$15,250,818 "
North Central Behavorial Health Systems Inc,937836575,LA SALLE,IL,613013488,LA SALLE,United States of America,Hospital,County Government,$0 
Will County Health Department,144385155,JOLIET,IL,604332799,WILL,United States of America,Health Department,County Government,"$3,199,118 "
ILLINOIS DEPT OF HUMAN SERVICES,67919071,CHICAGO,IL,60607,COOK,United States of America,Health Department,State Government,"$1,242,886,083 "
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,COOK,United States of America,Health Department,City Government,"$254,421,717 "
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,,United States of America,Health Department,City Government,"$14,024,065 "
Bureau County Health Department,809874428,PRINCETON,IL,61356,BUREAU,United States of America,Health Department,County Government,"$125,000 "
"COOK, COUNTY OF",139209527,CHICAGO,IL,606123723,COOK,United States of America,Health Department,County Government,"$2,907,725 "
DU PAGE CO HEALTH DEPT,110814543,WHEATON,IL,60187,DU PAGE,United States of America,Health Department,County Government,"$970,765 "
Kendall County Health Department,6524404,YORKVILLE,IL,605609249,KENDALL,United States of America,Health Department,County Government,"$105,018 "
"County of Lake, dba Lake County Health Department",104009394,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"($13,700)"
"County of Lake, dba Lake County Health Department",112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$1,135,000 "
LAKE COUNTY HEALTH DEPARTMENT,112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$7,211,966 "
McHenry County Department of Health,937636413,WOODSTOCK,IL,60098,MCHENRY,United States of America,Health Department,County Government,"$125,000 "
MERCER COUNTY HEALTH DEPARTMENT,832913730,ALEDO,IL,61231,MERCER,United States of America,Health Department,County Government,"$184,358 "
Whiteside County Health Department,784969420,ROCK FALLS,IL,610711005,WHITESIDE,United States of America,Health Department,County Government,"$3,264,234 "
"Elk Grove Village, Village of",72316581,ELK GROVE VILLAGE,IL,600073456,COOK,United States of America,Other Health Organization,City Government,"$385,000 "
DECATUR MEMORIAL HOSPITAL,46584991,DECATUR,IL,625264163,MACON,United States of America,Hospital,County Government,"$2,834,600 "
"CHESTNUT HEALTH SYSTEMS, INC",125086173,BLOOMINGTON,IL,617011429,MCLEAN,United States of America,Other Health Organization,County Government,"$9,472,695 "
SOUTHERN SEVEN HEALTH DEPARTMENT,35702315,ULLIN,IL,62992,PULASKI,United States of America,Health Department,State Government,"$6,017,113 "
MACOUPIN COUNTY PUBLIC HEALTH DEPARTMENT,947095568,CARLINVILLE,IL,626261075,MACOUPIN,United States of America,Health Department,County Government,"$4,238,754 "
IL ST DEPARTMENT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$66,778,426 "
CHAMPAIGN COUNTY REGIONAL PLAN COMM,3535551,URBANA,IL,618030339,CHAMPAIGN,United States of America,Other Health Organization,County Government,"$8,334,098 "
Egyptian Health Department,112426812,ELDORADO,IL,629303766,SALINE,United States of America,Health Department,County Government,"$8,762,064 "
Jersey Community Hospital district,20355905,Jerseyville,IL,620522028,JERSEY,United States of America,Other Health Organization,County Government,"$200,000 "
Mid-Michigan District Health Department,196794820,STANTON,MI,488889702,MONTCALM,United States of America,Health Department,State Government,"$33,622 "
LUCE MACKINAC HEALTH DEPARTMENT,17402780,NEWBERRY,MI,498687762,LUCE,United States of America,Health Department,County Government,"$1,000,000 "
ALLEGAN COUNTY COMMUNITY MENTAL HEALTH SERVICES,168483022,ALLEGAN,MI,49010,ALLEGAN,United States of America,Other Health Organization,County Government,"$48,515 "
MI ST PROTECTION & ADVOCACY SERVICE,168482909,LANSING,MI,489331706,INGHAM,United States of America,Other Health Organization,State Government,"$2,214,085 "
Allegan County Community Mental Health Services,168483022,ALLEGAN,MI,490109511,ALLEGAN,United States of America,Other Health Organization,County Government,"$410,000 "
Michigan Department of Health and Human Services,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"($12,817,623)"
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$15,526,666,330 "
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,805340163,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$2,590,362 "
DETROIT CITY HEALTH DEPARTMENT,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,City Government,"$11,088,442 "
Detroit Department of Health and Wellness Promotion,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,State Government,"$495,876 "
County of Jackson,88328877,JACKSON,MI,49201,JACKSON,United States of America,Other Health Organization,State Government,$0 
Genesee County Health Department,619259146,FLINT,MI,485021525,GENESEE,United States of America,Health Department,County Government,"$980,000 "
WESTERN UPPER PENINSULA DIST HEALTH DEPT,99939316,HANCOCK,MI,49930,HOUGHTON,United States of America,Health Department,County Government,"$200,000 "
KENT COUNTY HEALTH DEPARTMENT,20885463,GRAND RAPIDS,MI,49503,KENT,United States of America,Health Department,County Government,"$400,000 "
Macomb County Community Mental Health,16385400,CLINTON TOWNSHIP,MI,480361189,MACOMB,United States of America,Health Department,County Government,"$3,414,999 "
"OTTAWA, COUNTY OF",85899011,WEST OLIVE,MI,494608986,OTTAWA,United States of America,Other Health Organization,State Government,$0 
WASHTENAW COUNTY COMMUNITY MENTAL HEALTH CENTER,969330851,YPSILANTI,MI,481970915,WASHTENAW,United States of America,Hospital,County Government,"$5,694,800 "
"County of Ingham, Health Department",31875656,LANSING,MI,48909,INGHAM,United States of America,Health Department,County Government,"$5,871,139 "
MUSKEGON COUNTY COMMUNITY MENTAL HEALTH SERVICES BOARD,105780063,MESKEGON,MI,49442,MUSKEGON,United States of America,Other Health Organization,County Government,$0 
"MUSKEGON, COUNTY OF",105780063,MUSKEGON,MI,494423404,MUSKEGON,United States of America,Health Department,County Government,"$5,000,000 "
CHILDRENS HOSPITAL OF WISCONSIN INC,73847261,MILWAUKEE,WI,532011997,MILWAUKEE,United States of America,Hospital,City Government,"$9,630,540 "
"EAU CLAIRE, CITY OF",20495156,EAU CLAIRE,WI,547025148,EAU CLAIRE,United States of America,Health Department,City Government,"$289,297 "
MILWAUKEE CITY HEALTH DEPARTMENT,933451668,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,Health Department,City Government,"$1,025,000 "
County of Grant dba Unified Community Services,77497068,LANCASTER,WI,538132202,GRANT,United States of America,Health Department,County Government,$0 
Juneau County Health Department,38986444,MAUSTON,WI,53948,JUNEAU,United States of America,Health Department,County Government,"$125,000 "
TAYLOR COUNTY NURSING SERVICE,848662490,MEDFORD,WI,54451,TAYLOR,United States of America,Other Health Organization,County Government,$0 
WINNEBAGO COUNTY WISCONSIN,791103158,OSHKOSH,WI,549032808,WINNEBAGO,United States of America,Health Department,County Government,"$125,000 "
City of Franklin,21110432,FRANKLIN,WI,531329630,MILWAUKEE,United States of America,Health Department,City Government,"$30,821 "
WI Dept of Agriculture Trade & Consumer Protection,809035918,MADISON,WI,53718,DANE,United States of America,Other Health Organization,State Government,"$1,027,933 "
WI Department of Health Services Div. of MH & SA Svcs,36448835,MADISON,WI,53702,DANE,United States of America,Health Department,State Government,"$4,005,979 "
Wisconsin Department of Health Services.,36448835,MADISON,WI,53703,DANE,United States of America,Health Department,State Government,"$37,899,250 "
Wisconsin Department of Health Services.,809035728,MADISON,WI,53703,DANE,United States of America,Health Department,State Government,"$855,866 "
Lower Sioux Indian Community in the State of Minnesota,138821033,MORTON,MN,56270,RENVILLE,United States of America,Health Department,Federal Government,"($12,896)"
MINNEAPOLIS CITY DEPARTMENT OF HEALTH,66530411,MINNEAPOLIS,MN,55401,HENNEPIN,United States of America,Health Department,City Government,($305)
HENNEPIN COUNTY PILOT CITY HEALTH CENTER,134380054,MINNEAPOLIS,MN,55411,HENNEPIN,United States of America,Other Health Organization,City Government,"$3,976,494 "
"HENNEPIN CTY CMMTY HLTH DEPT, HLTH SVCS BLDG - LEVEL 3",780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$9,371,015 "
Hennepin County Human Services and Public Health Dept,780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$330,000 "
Hennepin County Public Works,140042941,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Other Health Organization,County Government,"$243,424 "
Kanabec County Public Health,17296687,BRUNSWICK,MN,55051,KANABEC,United States of America,Health Department,County Government,$0 
OLMSTED COUNTY HEALTH DEPARTMENT,607622123,ROCHESTER,MN,559044722,OLMSTED,United States of America,Health Department,County Government,"$40,000 "
Renville County Public Health Services,47578646,OLIVIA,MN,56277,RENVILLE,United States of America,Health Department,County Government,"($20,486)"
COUNTY OF SCOTT,70747183,SHAKOPEE,MN,553791220,SCOTT,United States of America,Health Department,County Government,"$43,330 "
Yellow Medicine County Courthouse,107971058,GRANITE FALLS,MN,56241,YELLOW MEDICINE,United States of America,Other Health Organization,County Government,"($84,122)"
MN ST DEPARTMENT OF HEALTH,804887321,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"$283,061,848 "
RICE MEMORIAL HOSPITAL,10337533,WILLMAR,MN,56201,KANDIYOHI,United States of America,Hospital,City Government,$0 
IOWA DEPARTMENT OF INSPECTIONS & APPEALS,30365063,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"$460,000 "
IA ST COMMISSION FOR THE BLIND,808345938,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,$0 
IOWA DEPT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"($5,939,786)"
Iowa Department of Human Services,137348624,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,$0 
IA ST DEPARTMENT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$219,383,643 "
IA ST DEPARTMENT OF SUBSTANCE ABUSE,808345920,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,"$13,490,420 "
WASHINGTON COUNTY MEMORIAL HOSP,60563095,POTOSI,MO,63664,WASHINGTON,United States of America,Hospital,County Government,"($183,230)"
RICHLAND MEDICAL CENTER INC,109707703,RICHLAND,MO,65556,PULASKI,United States of America,Hospital,County Government,"$5,276,273 "
"MACON, COUNTY OF",790121941,Macon,MO,635521751,MACON,United States of America,Health Department,State Government,"$11,110 "
Missouri State Department of Agriculture,878192673,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$945,389 "
Taney County Health Department,627054083,BRANSON,MO,65616,TANEY,United States of America,Health Department,State Government,"($78,115)"
OR ST DEPT OF HUMAN SERVICES - SALEM,830459231,SALEM,OR,973014278,MARION,United States of America,Health Department,State Government,"$543,296 "
ST LOUIS CITY DEPARTMENT OF HEALTH & HOSPITALS,135747843,SAINT LOUIS,MO,63178,ST. LOUIS,United States of America,Health Department,City Government,"$6,825,675 "
ST LOUIS COUNTY DIVISION OF PUBLIC HEALTH,75913061,CLAYTON,MO,63105,ST. LOUIS,United States of America,Health Department,County Government,"$1,398,640 "
MISSISSIPPI COUNTY HEALTH DEPARTMENT,625826529,CHARLESTON,MO,638341335,MISSISSIPPI,United States of America,Health Department,County Government,"$622,644 "
KANSAS CITY HEALTH DEPARTMENT,40710712,KANSAS CITY,MO,64108,JACKSON,United States of America,Health Department,City Government,"$4,483,024 "
MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,878092600,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$332,016,093 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$44,084,450 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$38,649,620 "
ND ST DEPARTMENT OF HEALTH,67976824,BISMARCK,ND,58501,BURLEIGH,United States of America,Health Department,State Government,"$93,197,338 "
NORTH DAKOTA DEPARTMENT OF AGRICULTURE,803096718,BISMARCK,ND,585050020,BURLEIGH,United States of America,Other Health Organization,State Government,"($179,768)"
UNITED TRIBES EDUCATION TECHNICAL CENTER,76517473,BISMARCK,ND,58501,BURLEIGH,United States of America,Other Health Organization,State Government,"$998,857 "
DAYTON HEALTH CENTER dba FIVE RIVERS HEALTH CENTER,968420617,DAYTON,OH,454062645,MONTGOMERY,United States of America,Hospital,State Government,"$7,807,080 "
RICHLAND COUNTY HEALTH DEPARTMENT,172205754,WAHPETON,ND,58075,RICHLAND,United States of America,Health Department,County Government,"$50,759 "
US PUBLIC HEALTH SERVICE INDIAN HOSPITAL,2329709,CASS LAKE,MN,56633,CASS,United States of America,Hospital,Federal Government,"$455,057 "
ILLINOIS HEALTH INFORMATION EXCHANGE AUTHORITY,78776055,CHICAGO,IL,606013222,COOK,United States of America,Other Health Organization,State Government,$0 
"COASTAL COMMUNITY HEALTH SERVICES, INC",78734820,BRUNSWICK,GA,315201974,GLYNN,United States of America,Health Department,State Government,"$3,387,911 "
SPOKANE TEACHING HEALTH CENTER,79201037,SPOKANE,WA,99210,SPOKANE,United States of America,Hospital,State Government,"$3,051,133 "
SD ST DEPT OF HUMAN SERVICES,180922833,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,$0 
SD ST DEPT OF HUMAN SERVICES,809587678,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$14,517,933 "
SD ST DEPT OF HUMAN SERVICES,959824129,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$533,068 "
SD ST DEPARTMENT OF HEALTH,809587710,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$104,586,968 "
"SIOUX FALLS, CITY OF",78034683,SIOUX FALLS,SD,571177402,MINNEHAHA,United States of America,Health Department,City Government,"$4,588,816 "
NE ST DEPARTMENT OF HEALTH,190827162,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$2,483,522 "
NE ST DEPARTMENT OF HEALTH,808819957,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$16,122,659 "
EAST-CENTRAL DISTRICT HEALTH DEPT,49717502,COLUMBUS,NE,686017233,PLATTE,United States of America,Health Department,County Government,"$3,994,103 "
"NEW JERSEY INNOVATION INSTITUTE, INC.",79690412,NEWARK,NJ,7102,ESSEX,United States of America,Other Health Organization,State Government,"($108,204)"
LANCASTER COUNTY HEALTH DEPARTMENT,51259786,LINCOLN,NE,68510,LANCASTER,United States of America,Health Department,County Government,"$70,000 "
Douglas County Health Department,147766955,OMAHA,NE,681830401,DOUGLAS,United States of America,Health Department,County Government,"$62,364 "
"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",175941483,TOPEKA,KS,66618,SHAWNEE,United States of America,Health Department,State Government,"$8,792,537 "
Univ. of Kansas Hospital Authority,23806040,KANSAS CITY,KS,662052005,WYANDOTTE,United States of America,Hospital,State Government,"$349,641 "
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,175941483,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$2,894,336,094 "
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,878195098,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$3,062,074 "
County of Allen,83123703,IOLA,KS,66749,ALLEN,United States of America,Other Health Organization,State Government,$0 
BEEBE MEDICAL CENTER,69885374,LEWES,DE,19958,SUSSEX,United States of America,Hospital,City Government,$0 
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$6,355,121 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,625227608,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$305,454 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,784115669,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"($3,764)"
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,787066583,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,$0 
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",103989187,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$59,852,957 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$50,441,864 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134776967,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$84,351,984 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",625227608,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$14,460,174 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",627773468,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$241,734 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",787066583,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$1,327,314,962 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,70596341,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,$0 
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,"$81,930,766 "
Delaware Health Care Commission,137676875,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,"$225,000 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201100,NEW CASTLE,United States of America,Health Department,State Government,"$2,348,926 "
"OWENSVILLE PRIMARY CARE, INC",69398212,WEST RIVER,MD,207789998,ANNE ARUNDEL,United States of America,Other Health Organization,County Government,"$2,163,857 "
MD ST DEPARTMENT OF HEALTH & MENTAL HYGIENE,143148679,WESTOVER,MD,21871,SOMERSET,United States of America,Health Department,State Government,"($430,239)"
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,144676566,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"$14,043,596 "
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,962318650,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"($696,823)"
Valley Health System,117372797,WINCHESTER,VA,226012808,**WINCHESTER,United States of America,Hospital,City Government,"$746,255 "
Association of State and Territorial Public Health Nutr,141079603,TUCSON,AZ,857407094,APACHE,United States of America,Health Department,State Government,"$5,100,786 "
WORCESTER COUNTY HEALTH DEPARTMENT,792865131,SNOW HILL,MD,21863,WORCESTER,United States of America,Health Department,County Government,$0 
HIPS - Clinical Services Department,961412939,WASHINGTON,DC,200023742,DISTRICT OF COLUMBIA,United States of America,Health Department,City Government,"$934,670 "
BALTIMORE CITY HEALTH DEPARTMENT,961539228,BALTIMORE,MD,212023418,**BALTIMORE CITY,United States of America,Health Department,City Government,"$30,762,948 "
"BALTIMORE COUNTY HEALTH DEPT, PUBLIC HEALTH NURSES SVCS",64875644,TOWSON,MD,21204,BALTIMORE,United States of America,Health Department,County Government,"$3,139,384 "
MONTGOMERY COUNTY HEALTH AND HUMAN SERVICES,62014378,ROCKVILLE,MD,20850,MONTGOMERY,United States of America,Health Department,County Government,$0 
PRINCE GEORGES COUNTY HEALTH DEPARTMENT,58592189,LARGO,MD,20774,PRINCE GEORGE'S,United States of America,Health Department,County Government,"$3,400,000 "
"HEALTH, MARYLAND DEPARTMENT OF",42426812,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,$0 
"HEALTH, MARYLAND DEPARTMENT OF",134104855,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$34,478,191 "
"HEALTH, MARYLAND DEPARTMENT OF",135218621,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$13,729,780 "
"HEALTH, MARYLAND DEPARTMENT OF",143148679,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$78,002,808 "
"HEALTH, MARYLAND DEPARTMENT OF",144280372,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$310,566,838 "
"HEALTH, MARYLAND DEPARTMENT OF",153501114,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$34,950,240 "
"HEALTH, MARYLAND DEPARTMENT OF",614531549,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$8,589,259 "
"HEALTH, MARYLAND DEPARTMENT OF",614531796,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$8,252,710,776 "
"HEALTH, MARYLAND DEPARTMENT OF",878894849,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$6,894,117 "
MD ST MENTAL HYGIENE ADMINISTRATION,135218621,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,$0 
MD ST MENTAL HYGIENE ADMINISTRATION,144280372,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,"$1,504,724 "
WALTER REED ARMY MEDICAL CENTER,129615428,WASHINGTON,DC,20012,DISTRICT OF COLUMBIA,United States of America,Hospital,Federal Government,"$246,559 "
DC DEPARTMENT OF HEALTH CARE FINANCE,106731248,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$118,021,867 "
District of Columbia Department of Mental Health,14384031,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$319,176 "
DC ST Dept of Behavioral Health,14384031,WASHINGTON,DC,200023320,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$27,362,505 "
VA DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,809740541,HENRICO,VA,232295019,HENRICO,United States of America,Other Health Organization,State Government,"$64,959,595 "
VA ST DEPT OF GENERAL SERVICES,809740665,RICHMOND,VA,23219,**RICHMOND,United States of America,Other Health Organization,State Government,"$1,475,500 "
"BLAND COUNTY MEDICAL CLINIC, INC",796064582,BASTIAN,VA,243144547,BLAND,United States of America,Other Health Organization,County Government,"$2,783,200 "
VA ST DEPARTMENT OF MEDICAL ASSISTANCE SERVICES,809740467,RICHMOND,VA,232191856,**RICHMOND,United States of America,Other Health Organization,State Government,"$9,792,448,926 "
Henrico County,74735515,HENRICO,VA,232282745,HENRICO,United States of America,Health Department,County Government,$0 
RICHMOND CITY DEPARTMENT OF PUBLIC HEALTH,3133840,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,City Government,$0 
VA Dept of Behavioral Health and Developmental Services,627383102,RICHMOND,VA,232181797,**RICHMOND,United States of America,Health Department,State Government,"$93,738,846 "
VA Dept. of Behavioral Health and Developmental Service,627383102,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$797,076 "
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$1,932,386 "
VA ST DEPARTMENT OF HEALTH,617565148,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$411,186 "
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$14,409,357 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$16,294,866 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$4,630,100 "
VA ST DEPARTMENT OF HEALTH,829184618,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,$0 
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$73,805 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$2,582,571 "
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$38,391,187 "
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$24,059,798 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$246,149,065 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$7,939,886 "
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$27,911 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$28,368,116 "
"HEALTH, VIRGINIA DEPARTMENT OF",602160298,Richmond,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$370,000 "
"LOGAN MINGO AREA MENTAL HEALTH, INC",22730217,LOGAN,WV,25601,LOGAN,United States of America,Health Department,City Government,"$114,452 "
MID-OHIO VALLEY HEALTH DEPARTMENT,82958349,PARKERSBURG,WV,26101,WOOD,United States of America,Health Department,County Government,"$63,437 "
"ROANE COUNTY FAMILY HEALTH CARE, INC",34937982,SPENCER,WV,25276,ROANE,United States of America,Other Health Organization,County Government,"$1,949,003 "
WV ST DEPT HLTH & HUMAN RESOURCE,37462715,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$3,526,106,842 "
WV ST DEPT HLTH & HUMAN RESOURCE,140779708,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$378,256 "
