"TAGGS Recipient Search Export
Data Fiscal Year = 2019; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
IN ST PROTECTION & ADVOCACY SERVICE COMMISSION,177603487,INDIANAPOLIS,IN,46205,MARION,United States of America,Other Health Organization,State Government,"$1,553,734 "
WAYNE COUNTY HEALTH DEPARTMENT,798954413,RICHMOND,IN,47374,WAYNE,United States of America,Health Department,County Government,"$1,716,200 "
"BATESVILLE, CITY OF",87438255,BATESVILLE,IN,470061345,RIPLEY,United States of America,Other Health Organization,City Government,$0 
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY (THE),52952058,INDIANAPOLIS,IN,462052930,MARION,United States of America,Other Health Organization,County Government,"$11,845,109 "
EASTER SEALS METROPOLITAN CHICAGO,68497114,CHICAGO,IL,60604,COOK,United States of America,Other Health Organization,State Government,"$11,543,209 "
North Central Behavorial Health Systems Inc,937836575,LA SALLE,IL,613013488,LA SALLE,United States of America,Hospital,County Government,"$200,000 "
Will County Health Department,144385155,JOLIET,IL,604332799,WILL,United States of America,Health Department,County Government,"$2,553,611 "
ILLINOIS DEPT OF HUMAN SERVICES,67919071,CHICAGO,IL,60607,COOK,United States of America,Health Department,State Government,"$1,109,662,457 "
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,COOK,United States of America,Health Department,City Government,"$48,951,639 "
Bureau County Health Department,809874428,PRINCETON,IL,61356,BUREAU,United States of America,Health Department,County Government,"$125,000 "
Cook County Department of Public Health,131254885,OAK PARK,IL,60301,COOK,United States of America,Health Department,County Government,"($114,050)"
"COOK, COUNTY OF",139209527,CHICAGO,IL,606123723,COOK,United States of America,Health Department,County Government,"$3,098,383 "
DU PAGE CO HEALTH DEPT,110814543,WHEATON,IL,60187,DU PAGE,United States of America,Health Department,County Government,"$788,012 "
"County of Lake, dba Lake County Health Department",112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$1,453,365 "
LAKE COUNTY HEALTH DEPARTMENT,112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$5,090,249 "
MERCER COUNTY HEALTH DEPARTMENT,832913730,ALEDO,IL,61231,MERCER,United States of America,Health Department,County Government,"$184,358 "
Whiteside County Health Department,784969420,ROCK FALLS,IL,610711005,WHITESIDE,United States of America,Health Department,County Government,"$2,175,253 "
"Elk Grove Village, Village of",72316581,ELK GROVE VILLAGE,IL,600073456,COOK,United States of America,Other Health Organization,City Government,"$385,000 "
DECATUR MEMORIAL HOSPITAL,46584991,DECATUR,IL,625264163,MACON,United States of America,Hospital,County Government,"$2,755,865 "
"CHESTNUT HEALTH SYSTEMS, INC",125086173,BLOOMINGTON,IL,617011429,MCLEAN,United States of America,Other Health Organization,County Government,"$8,653,412 "
SOUTHERN SEVEN HEALTH DEPARTMENT,35702315,ULLIN,IL,62992,PULASKI,United States of America,Health Department,State Government,"$5,010,597 "
MACOUPIN COUNTY PUBLIC HEALTH DEPARTMENT,947095568,CARLINVILLE,IL,626261075,MACOUPIN,United States of America,Health Department,County Government,"$2,988,982 "
IL ST DEPARTMENT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$69,938,581 "
CHAMPAIGN COUNTY REGIONAL PLAN COMM,3535551,URBANA,IL,618030339,CHAMPAIGN,United States of America,Other Health Organization,County Government,"$8,061,102 "
Egyptian Health Department,112426812,ELDORADO,IL,629303766,SALINE,United States of America,Health Department,County Government,"$978,026 "
Jersey Community Hospital district,20355905,Jerseyville,IL,620522028,JERSEY,United States of America,Other Health Organization,County Government,"$1,125,000 "
LUCE MACKINAC HEALTH DEPARTMENT,17402780,NEWBERRY,MI,498687762,LUCE,United States of America,Health Department,County Government,"$200,000 "
ALLEGAN COUNTY COMMUNITY MENTAL HEALTH SERVICES,168483022,ALLEGAN,MI,49010,ALLEGAN,United States of America,Other Health Organization,County Government,"$173,515 "
MI ST PROTECTION & ADVOCACY SERVICE,168482909,LANSING,MI,489331706,INGHAM,United States of America,Other Health Organization,State Government,"$2,227,841 "
Allegan County Community Mental Health Services,168483022,ALLEGAN,MI,490109511,ALLEGAN,United States of America,Other Health Organization,County Government,"$718,282 "
Michigan Department of Health and Human Services,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$1,699,927 "
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$14,298,601,484 "
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,805340163,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$2,601,359 "
DETROIT CITY HEALTH DEPARTMENT,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,City Government,"$9,745,427 "
County of Jackson,88328877,JACKSON,MI,49201,JACKSON,United States of America,Other Health Organization,State Government,"$325,000 "
Genesee County Health Department,619259146,FLINT,MI,485021525,GENESEE,United States of America,Health Department,County Government,"$834,738 "
KENT COUNTY HEALTH DEPARTMENT,20885463,GRAND RAPIDS,MI,49503,KENT,United States of America,Health Department,County Government,"($61,942)"
"OTTAWA, COUNTY OF",85899011,WEST OLIVE,MI,494608986,OTTAWA,United States of America,Other Health Organization,State Government,"$322,916 "
WASHTENAW COUNTY COMMUNITY MENTAL HEALTH CENTER,969330851,YPSILANTI,MI,481970915,WASHTENAW,United States of America,Hospital,County Government,"$1,713,210 "
Washtenaw County Public Health Department,20111969,YPSILANTI,MI,481970915,WASHTENAW,United States of America,Health Department,County Government,$0 
WAYNE CNTY DEPT OF HEALTH & COMMUNITY SVCS,73134884,WESTLAND,MI,48186,WAYNE,United States of America,Other Health Organization,County Government,$0 
"County of Ingham, Health Department",31875656,LANSING,MI,48909,INGHAM,United States of America,Health Department,County Government,"$4,427,307 "
MUSKEGON COUNTY COMMUNITY MENTAL HEALTH SERVICES BOARD,105780063,MESKEGON,MI,49442,MUSKEGON,United States of America,Other Health Organization,County Government,"$2,996,000 "
CHILDRENS HOSPITAL OF WISCONSIN INC,73847261,MILWAUKEE,WI,532011997,MILWAUKEE,United States of America,Hospital,City Government,"$8,152,818 "
MILWAUKEE CITY HEALTH DEPARTMENT,933451668,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,Health Department,City Government,"$969,459 "
County of Grant dba Unified Community Services,77497068,LANCASTER,WI,538132202,GRANT,United States of America,Health Department,County Government,$0 
Juneau County Health Department,38986444,MAUSTON,WI,53948,JUNEAU,United States of America,Health Department,County Government,"$125,000 "
"LA CROSSE COUNTY HEALTH DEPT, NUTRITIONSERVICES",76504885,LA CROSSE,WI,54601,LA CROSSE,United States of America,Other Health Organization,County Government,"$131,853 "
TAYLOR COUNTY NURSING SERVICE,848662490,MEDFORD,WI,54451,TAYLOR,United States of America,Other Health Organization,County Government,"$125,000 "
City of Franklin,21110432,FRANKLIN,WI,531329630,MILWAUKEE,United States of America,Health Department,City Government,"$125,000 "
WI Dept of Agriculture Trade & Consumer Protection,809035918,MADISON,WI,53718,DANE,United States of America,Other Health Organization,State Government,"$1,048,295 "
WI Department of Health Services Div. of MH & SA Svcs,36448835,MADISON,WI,53702,DANE,United States of America,Health Department,State Government,"$5,620,000 "
Wisconsin Department of Health Services.,36448835,MADISON,WI,53703,DANE,United States of America,Health Department,State Government,"$32,595,330 "
Lower Sioux Indian Community in the State of Minnesota,138821033,MORTON,MN,56270,RENVILLE,United States of America,Health Department,Federal Government,"$125,000 "
MINNEAPOLIS CITY DEPARTMENT OF HEALTH,66530411,MINNEAPOLIS,MN,55401,HENNEPIN,United States of America,Health Department,City Government,$0 
HENNEPIN COUNTY PILOT CITY HEALTH CENTER,134380054,MINNEAPOLIS,MN,55411,HENNEPIN,United States of America,Other Health Organization,City Government,"$2,210,444 "
"HENNEPIN CTY CMMTY HLTH DEPT, HLTH SVCS BLDG - LEVEL 3",780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$9,603,741 "
Hennepin County Human Services and Public Health Dept,780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$324,041 "
Hennepin County Public Works,140042941,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Other Health Organization,County Government,"$202,853 "
Kanabec County Public Health,17296687,BRUNSWICK,MN,55051,KANABEC,United States of America,Health Department,County Government,$0 
OLMSTED COUNTY HEALTH DEPARTMENT,607622123,ROCHESTER,MN,559044722,OLMSTED,United States of America,Health Department,County Government,"$70,000 "
Renville County Public Health Services,47578646,OLIVIA,MN,56277,RENVILLE,United States of America,Health Department,County Government,"$125,000 "
Todd County,198541919,LONG PRAIRIE,MN,56347,TODD,United States of America,Health Department,County Government,"$125,000 "
MN ST DEPARTMENT OF HEALTH,804885929,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"($274,593)"
MN ST DEPARTMENT OF HEALTH,804887321,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"$103,015,630 "
MN ST DEPARTMENT OF HEALTH,808883128,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"($700,000)"
IOWA DEPARTMENT OF INSPECTIONS & APPEALS,30365063,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"$530,000 "
IA ST COMMISSION FOR THE BLIND,808345938,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,$0 
IOWA DEPT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$5,939,786 "
IA ST DEPARTMENT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$74,326,813 "
IA ST DEPARTMENT OF SUBSTANCE ABUSE,808345920,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,"$13,424,185 "
Siouxland District Health Department,612376533,SIOUX CITY,IA,511051435,WOODBURY,United States of America,Health Department,County Government,"($10,392)"
WASHINGTON COUNTY MEMORIAL HOSP,60563095,POTOSI,MO,63664,WASHINGTON,United States of America,Hospital,County Government,"$942,555 "
RICHLAND MEDICAL CENTER INC,109707703,RICHLAND,MO,65556,PULASKI,United States of America,Hospital,County Government,"$4,816,649 "
Missouri State Department of Agriculture,878192673,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$853,495 "
Taney County Health Department,627054083,BRANSON,MO,65616,TANEY,United States of America,Health Department,State Government,"$88,099 "
OR ST DEPT OF HUMAN SERVICES - SALEM,830459231,SALEM,OR,973014278,MARION,United States of America,Health Department,State Government,"$615,240 "
ST LOUIS CITY DEPARTMENT OF HEALTH & HOSPITALS,135747843,SAINT LOUIS,MO,63178,ST. LOUIS,United States of America,Health Department,City Government,"$6,239,697 "
ST LOUIS COUNTY DIVISION OF PUBLIC HEALTH,75913061,CLAYTON,MO,63105,ST. LOUIS,United States of America,Health Department,County Government,"$1,160,590 "
MISSISSIPPI COUNTY HEALTH DEPARTMENT,625826529,CHARLESTON,MO,638341335,MISSISSIPPI,United States of America,Health Department,County Government,"$696,435 "
KANSAS CITY HEALTH DEPARTMENT,40710712,KANSAS CITY,MO,64108,JACKSON,United States of America,Health Department,City Government,"$4,446,165 "
MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,878092600,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$131,569,996 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$36,511,448 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$39,112,490 "
ND ST DEPARTMENT OF HEALTH,67976824,BISMARCK,ND,58501,BURLEIGH,United States of America,Health Department,State Government,"$28,891,939 "
NORTH DAKOTA DEPARTMENT OF AGRICULTURE,803096718,BISMARCK,ND,585050020,BURLEIGH,United States of America,Other Health Organization,State Government,"$176,829 "
UNITED TRIBES EDUCATION TECHNICAL CENTER,76517473,BISMARCK,ND,58501,BURLEIGH,United States of America,Other Health Organization,State Government,"$811,402 "
DAYTON HEALTH CENTER dba FIVE RIVERS HEALTH CENTER,968420617,DAYTON,OH,454062645,MONTGOMERY,United States of America,Hospital,State Government,"$5,464,475 "
RICHLAND COUNTY HEALTH DEPARTMENT,172205754,WAHPETON,ND,58075,RICHLAND,United States of America,Health Department,County Government,"$125,000 "
US PUBLIC HEALTH SERVICE INDIAN HOSPITAL,2329709,CASS LAKE,MN,56633,CASS,United States of America,Hospital,Federal Government,"$455,057 "
ILLINOIS HEALTH INFORMATION EXCHANGE AUTHORITY,78776055,CHICAGO,IL,606013222,COOK,United States of America,Other Health Organization,State Government,"($298,468)"
"COASTAL COMMUNITY HEALTH SERVICES, INC",78734820,BRUNSWICK,GA,315201974,GLYNN,United States of America,Health Department,State Government,"$2,569,446 "
"SOUTH CAROLINA HEALTH INFORMATION PARTNERS, INC.",79120136,GREENWOOD,SC,29646,RICHLAND,United States of America,Health Department,State Government,"($118,893)"
SPOKANE TEACHING HEALTH CENTER,79201037,SPOKANE,WA,99210,SPOKANE,United States of America,Hospital,State Government,"$2,976,736 "
SD ST DEPT OF HUMAN SERVICES,809587678,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$9,105,475 "
SD ST DEPT OF HUMAN SERVICES,959824129,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$520,325 "
SD ST DEPARTMENT OF HEALTH,809587710,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$29,809,385 "
"SIOUX FALLS, CITY OF",78034683,SIOUX FALLS,SD,571177402,MINNEHAHA,United States of America,Health Department,City Government,"$3,440,042 "
NE ST DEPARTMENT OF HEALTH,190827162,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$2,845,485 "
NE ST DEPARTMENT OF HEALTH,808819957,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$10,217,971 "
NE ST DIRECTOR SERVICES FOR THE VISUALLY IMPAIRED,197603798,LINCOLN,NE,68509,LANCASTER,United States of America,Other Health Organization,State Government,($126)
EAST-CENTRAL DISTRICT HEALTH DEPT,49717502,COLUMBUS,NE,686017233,PLATTE,United States of America,Health Department,County Government,"$2,846,740 "
"NEW JERSEY INNOVATION INSTITUTE, INC.",79690412,NEWARK,NJ,7102,ESSEX,United States of America,Other Health Organization,State Government,$0 
LANCASTER COUNTY HEALTH DEPARTMENT,51259786,LINCOLN,NE,68510,LANCASTER,United States of America,Health Department,County Government,"$70,000 "
KEARNY COUNTY HOSPITAL,87422333,LAKIN,KS,67860,KEARNY,United States of America,Hospital,County Government,$0 
Kansas Health Policy Authority,879897098,TOPEKA,KS,666121212,SHAWNEE,United States of America,Other Health Organization,State Government,"($97,241)"
Univ. of Kansas Hospital Authority,23806040,KANSAS CITY,KS,662052005,WYANDOTTE,United States of America,Hospital,State Government,"$349,641 "
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,175941483,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$2,386,268,760 "
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,878195098,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$3,018,782 "
KS DEPARTMENT OF HLTH & ENVIRONMENT,175941483,TOPEKA,KS,666121290,SHAWNEE,United States of America,Health Department,State Government,$0 
County of Allen,83123703,IOLA,KS,66749,ALLEN,United States of America,Other Health Organization,State Government,"$63,080 "
LAWRENCE-DOUGLAS COUNTY HEALTH DEPARTMENT,150501336,LAWRENCE,KS,660441396,DOUGLAS,United States of America,Health Department,County Government,$0 
BEEBE MEDICAL CENTER,69885374,LEWES,DE,19958,SUSSEX,United States of America,Hospital,City Government,"$750,000 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$6,852,969 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,625227608,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,$0 
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,787066583,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$3,579,864 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",103989187,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$59,299,740 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$30,505,251 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134776967,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$67,650,704 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",625227608,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$9,080,491 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",627773468,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$241,734 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",787066583,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$1,539,345,699 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",809855836,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"($445,000)"
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,70596341,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,$0 
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,"$7,221,250 "
Delaware Health Care Commission,103989187,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,($1)
Delaware Health Care Commission,137676875,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,"($843,752)"
Delaware Health Information Network,145009606,DOVER,DE,19901,KENT,United States of America,Other Health Organization,State Government,$0 
"OWENSVILLE PRIMARY CARE, INC",69398212,WEST RIVER,MD,207789998,ANNE ARUNDEL,United States of America,Other Health Organization,County Government,"$1,466,635 "
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,144676566,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"$21,975,166 "
Association of State and Territorial Public Health Nutr,141079603,TUCSON,AZ,857407094,APACHE,United States of America,Health Department,State Government,"$2,433,452 "
WORCESTER COUNTY HEALTH DEPARTMENT,792865131,SNOW HILL,MD,21863,WORCESTER,United States of America,Health Department,County Government,"$250,000 "
HIPS - Clinical Services Department,961412939,WASHINGTON,DC,200023742,DISTRICT OF COLUMBIA,United States of America,Health Department,City Government,"$934,670 "
BALTIMORE CITY HEALTH DEPARTMENT,961539228,BALTIMORE,MD,212023418,**BALTIMORE CITY,United States of America,Health Department,City Government,"$26,693,882 "
"BALTIMORE COUNTY HEALTH DEPT, PUBLIC HEALTH NURSES SVCS",64875644,TOWSON,MD,21204,BALTIMORE,United States of America,Health Department,County Government,"$3,139,384 "
MONTGOMERY COUNTY HEALTH AND HUMAN SERVICES,62014378,ROCKVILLE,MD,20850,MONTGOMERY,United States of America,Health Department,County Government,"$708,291 "
PRINCE GEORGES COUNTY HEALTH DEPARTMENT,58592189,LARGO,MD,20774,PRINCE GEORGE'S,United States of America,Health Department,County Government,"$3,400,000 "
"HEALTH, MARYLAND DEPARTMENT OF",42426812,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$340,000 "
"HEALTH, MARYLAND DEPARTMENT OF",79175393,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$200,000 "
"HEALTH, MARYLAND DEPARTMENT OF",134104855,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$34,414,043 "
"HEALTH, MARYLAND DEPARTMENT OF",135218621,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$13,676,817 "
"HEALTH, MARYLAND DEPARTMENT OF",140776803,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"($49,392)"
"HEALTH, MARYLAND DEPARTMENT OF",143148679,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$90,525,158 "
"HEALTH, MARYLAND DEPARTMENT OF",144280372,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$63,886,378 "
"HEALTH, MARYLAND DEPARTMENT OF",153501114,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$16,240,155 "
"HEALTH, MARYLAND DEPARTMENT OF",614531549,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$8,231,836 "
"HEALTH, MARYLAND DEPARTMENT OF",614531796,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$7,598,301,009 "
"HEALTH, MARYLAND DEPARTMENT OF",878894849,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$5,725,640 "
MD ST MENTAL HYGIENE ADMINISTRATION,135218621,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,"$1,271,711 "
Dorchester County Health Department,627929524,CAMBRIDGE,MD,21613,DORCHESTER,United States of America,Health Department,County Government,$0 
"University of Maryland, Baltimore - Psychiatry/DPSR Div",188435911,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Health Department,State Government,"($657,465)"
WALTER REED ARMY MEDICAL CENTER,129615428,WASHINGTON,DC,20012,DISTRICT OF COLUMBIA,United States of America,Hospital,Federal Government,"$2,234,831 "
DC DEPARTMENT OF HEALTH CARE FINANCE,106731248,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$27,759,821 "
"DC DEPT of Health, Addiction Prevention&Recovery Admin.",106731248,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$173,251 "
DC ST Dept of Behavioral Health,14384031,WASHINGTON,DC,200023320,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$34,643,646 "
VA DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,809740541,HENRICO,VA,232295019,HENRICO,United States of America,Other Health Organization,State Government,"$38,025,730 "
VA ST DEPT OF GENERAL SERVICES,809740665,RICHMOND,VA,23219,**RICHMOND,United States of America,Other Health Organization,State Government,"$860,000 "
"BLAND COUNTY MEDICAL CLINIC, INC",796064582,BASTIAN,VA,243144547,BLAND,United States of America,Other Health Organization,County Government,"$1,872,371 "
VA ST DEPARTMENT OF MEDICAL ASSISTANCE SERVICES,809740467,RICHMOND,VA,232191856,**RICHMOND,United States of America,Other Health Organization,State Government,"$7,584,723,273 "
Henrico County,74735515,HENRICO,VA,232282745,HENRICO,United States of America,Health Department,County Government,"$356,766 "
RICHMOND CITY DEPARTMENT OF PUBLIC HEALTH,3133840,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,City Government,$0 
VA Dept of Behavioral Health and Developmental Services,627383102,RICHMOND,VA,232181797,**RICHMOND,United States of America,Health Department,State Government,"$90,759,653 "
VA Dept. of Behavioral Health and Developmental Service,627383102,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,$0 
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$993,583 "
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$14,644,604 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$9,498,389 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$2,965,291 "
VA ST DEPARTMENT OF HEALTH,829184618,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$931,296 "
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$45,433 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$1,468,957 "
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$22,706,540 "
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$6,897,199 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$14,865,515 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$22,599,414 "
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$342,585 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$26,978,470 "
MID-OHIO VALLEY HEALTH DEPARTMENT,82958349,PARKERSBURG,WV,26101,WOOD,United States of America,Health Department,County Government,"$64,277 "
"ROANE COUNTY FAMILY HEALTH CARE, INC",34937982,SPENCER,WV,25276,ROANE,United States of America,Other Health Organization,County Government,"$1,196,238 "
WV ST DEPT HLTH & HUMAN RESOURCE,37462715,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$3,277,480,642 "
WV ST DEPT HLTH & HUMAN RESOURCE,148040327,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$275,244,763 "
WV ST DEPT HLTH & HUMAN RESOURCE,824700611,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$3,181,682 "
WV ST DEPT HLTH & HUMAN RESOURCE,928403682,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$54,527,965 "
"Health And Human Resources, West Virginia Department Of",140779708,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$97,966,661 "
"Health And Human Resources, West Virginia Department Of",618137715,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$300,000 "
"WV ST DEPARTMENT OF HEALTH, ALCOHOL & DRUG ABUSE PROG",140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"($114,865)"
Jackson County Health Department,861071926,RIPLEY,WV,25271,JACKSON,United States of America,Health Department,County Government,"$500,000 "
FAYETTE COUNTY - HEALTH DEPARTMENT,4615285,FAYETTEVILLE,WV,258408504,FAYETTE,United States of America,Health Department,State Government,"$235,014 "
WEST VIRGINIA DEPARTMENT OF HEALTH,618137715,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$12,647,349 "
"GREENE COUNTY HEALTH CARE, INC",82369166,SNOWHILL,NC,28580,GREENE,United States of America,Other Health Organization,County Government,"$9,054,611 "
"NC ST DEPT OF HEALTH AND HUMAN SRV, DIV OF  MH,DD,SAS",809785363,RALEIGH,NC,276993001,WAKE,United States of America,Other Health Organization,State Government,"$6,117,149 "
"DURHAM, COUNTY OF",4874228,DURHAM,NC,277013649,DURHAM,United States of America,Health Department,County Government,"$538,646 "
GASTON COUNTY DEPARTMENT OF HEALTH,71062186,GASTONIA,NC,28052,GASTON,United States of America,Health Department,County Government,"$133,333 "
MADISON COUNTY HEALTH DEPARTMENT,831052873,MARSHALL,NC,28753,MADISON,United States of America,Health Department,County Government,"$125,000 "
