"TAGGS Recipient Search Export
Data Fiscal Year = 2021; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
"EAU CLAIRE, CITY OF",20495156,EAU CLAIRE,WI,547025148,EAU CLAIRE,United States of America,Health Department,City Government,$0 
MILWAUKEE CITY HEALTH DEPARTMENT,933451668,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,Health Department,City Government,"($14,911)"
"LA CROSSE COUNTY HEALTH DEPT, NUTRITIONSERVICES",76504885,LA CROSSE,WI,54601,LA CROSSE,United States of America,Other Health Organization,County Government,$0 
POLK COUNTY HEALTH DEPARTMENT,40959512,BALSAM LAKE,WI,54810,POLK,United States of America,Other Health Organization,County Government,"$125,000 "
TAYLOR COUNTY NURSING SERVICE,848662490,MEDFORD,WI,54451,TAYLOR,United States of America,Other Health Organization,County Government,$0 
WASHBURN COUNTY PUBLIC HEALTH NURSING AGENCY,30020200,SHELL LAKE,WI,54871,WASHBURN,United States of America,Other Health Organization,County Government,"$125,000 "
WINNEBAGO COUNTY WISCONSIN,791103158,OSHKOSH,WI,549032808,WINNEBAGO,United States of America,Health Department,County Government,"$125,000 "
Wood County Health Department,74791237,WISCONSIN RAPIDS,WI,54494,WOOD,United States of America,Health Department,County Government,"$125,000 "
City of Franklin,21110432,FRANKLIN,WI,531329630,MILWAUKEE,United States of America,Health Department,City Government,$0 
WI Dept of Agriculture Trade & Consumer Protection,809035918,MADISON,WI,53718,DANE,United States of America,Other Health Organization,State Government,$0 
WI Department of Health Services Div. of MH & SA Svcs,36448835,MADISON,WI,53702,DANE,United States of America,Health Department,State Government,"$3,635,617 "
Wisconsin Department of Health Services.,36448835,MADISON,WI,53703,DANE,United States of America,Health Department,State Government,"$6,362,094 "
HENNEPIN COUNTY PILOT CITY HEALTH CENTER,134380054,MINNEAPOLIS,MN,55411,HENNEPIN,United States of America,Other Health Organization,City Government,"$8,425,163 "
"HENNEPIN CTY CMMTY HLTH DEPT, HLTH SVCS BLDG - LEVEL 3",780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$9,143,270 "
Hennepin County Human Services and Public Health Dept,780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$4,000,000 "
Hennepin County Public Works,140042941,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Other Health Organization,County Government,$0 
Renville County Public Health Services,47578646,OLIVIA,MN,56277,RENVILLE,United States of America,Health Department,County Government,"$20,486 "
COUNTY OF SCOTT,70747183,SHAKOPEE,MN,553791220,SCOTT,United States of America,Health Department,County Government,"$206,670 "
MN ST DEPARTMENT OF HEALTH,804887321,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"$631,940,627 "
IOWA DEPARTMENT OF INSPECTIONS & APPEALS,30365063,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"($41,876)"
Iowa Department of Human Services,137348624,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"$884,872 "
IA ST DEPARTMENT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$378,659,268 "
IA ST DEPARTMENT OF SUBSTANCE ABUSE,808345920,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,$0 
WASHINGTON COUNTY MEMORIAL HOSP,60563095,POTOSI,MO,63664,WASHINGTON,United States of America,Hospital,County Government,$0 
RICHLAND MEDICAL CENTER INC,109707703,RICHLAND,MO,65556,PULASKI,United States of America,Hospital,County Government,"$7,196,804 "
Missouri State Department of Agriculture,878192673,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"($131,170)"
OR ST DEPT OF HUMAN SERVICES - SALEM,830459231,SALEM,OR,973014278,MARION,United States of America,Health Department,State Government,$0 
ST LOUIS CITY DEPARTMENT OF HEALTH & HOSPITALS,135747843,SAINT LOUIS,MO,63178,ST. LOUIS,United States of America,Health Department,City Government,"$5,670,782 "
MISSISSIPPI COUNTY HEALTH DEPARTMENT,625826529,CHARLESTON,MO,638341335,MISSISSIPPI,United States of America,Health Department,County Government,$0 
KANSAS CITY HEALTH DEPARTMENT,40710712,KANSAS CITY,MO,64108,JACKSON,United States of America,Health Department,City Government,"$4,165,854 "
MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,878092600,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$730,247,084 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$2,508,033 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$57,542,654 "
ND ST DEPARTMENT OF HEALTH,67976824,BISMARCK,ND,58501,BURLEIGH,United States of America,Health Department,State Government,"$113,771,847 "
UNITED TRIBES EDUCATION TECHNICAL CENTER,76517473,BISMARCK,ND,58501,BURLEIGH,United States of America,Other Health Organization,State Government,"$832,366 "
DAYTON HEALTH CENTER dba FIVE RIVERS HEALTH CENTER,968420617,DAYTON,OH,454062645,MONTGOMERY,United States of America,Hospital,State Government,"$8,639,356 "
HEALTHIE NEVADA,79410751,LAS VEGAS,NV,891182538,,United States of America,Hospital,State Government,"$123,809 "
BISMARCK CITY NURSING SERVICE,80245640,BISMARCK,ND,58501,BURLEIGH,United States of America,Other Health Organization,City Government,"$125,000 "
RICHLAND COUNTY HEALTH DEPARTMENT,172205754,WAHPETON,ND,58075,RICHLAND,United States of America,Health Department,County Government,$0 
US PUBLIC HEALTH SERVICE INDIAN HOSPITAL,2329709,CASS LAKE,MN,56633,CASS,United States of America,Hospital,Federal Government,"$455,057 "
"COASTAL COMMUNITY HEALTH SERVICES, INC",78734820,BRUNSWICK,GA,315201974,GLYNN,United States of America,Health Department,State Government,"$4,397,666 "
SPOKANE TEACHING HEALTH CENTER,79201037,SPOKANE,WA,99210,SPOKANE,United States of America,Hospital,State Government,"$1,311,769 "
SD ST DEPT OF HUMAN SERVICES,180922833,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,$0 
SD ST DEPT OF HUMAN SERVICES,809587678,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$11,170,457 "
SD ST DEPT OF HUMAN SERVICES,959824129,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$527,570 "
SD ST DEPARTMENT OF HEALTH,809587710,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$128,269,930 "
"SIOUX FALLS, CITY OF",78034683,SIOUX FALLS,SD,571177402,MINNEHAHA,United States of America,Health Department,City Government,"$6,531,294 "
NE ST DEPARTMENT OF HEALTH,190827162,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$1,335,761 "
NE ST DEPARTMENT OF HEALTH,808819957,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$2,198,174 "
NE ST DIRECTOR SERVICES FOR THE VISUALLY IMPAIRED,197603798,LINCOLN,NE,68509,LANCASTER,United States of America,Other Health Organization,State Government,$0 
EAST-CENTRAL DISTRICT HEALTH DEPT,49717502,COLUMBUS,NE,686017233,PLATTE,United States of America,Health Department,County Government,"$5,840,990 "
LANCASTER COUNTY HEALTH DEPARTMENT,51259786,LINCOLN,NE,68510,LANCASTER,United States of America,Health Department,County Government,$0 
"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",175941483,TOPEKA,KS,66618,SHAWNEE,United States of America,Health Department,State Government,"$1,298,815 "
Univ. of Kansas Hospital Authority,23806040,KANSAS CITY,KS,662052005,WYANDOTTE,United States of America,Hospital,State Government,$0 
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,175941483,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$2,736,760,203 "
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,878195098,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$508,408 "
BEEBE MEDICAL CENTER,69885374,LEWES,DE,19958,SUSSEX,United States of America,Hospital,City Government,$0 
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"($18,586)"
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,625227608,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,$0 
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,787066583,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$114,000 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",103989187,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$32,451,462 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$14,734,380 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134776967,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$85,260,791 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",625227608,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$10,267,557 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",627773468,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$83,222 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",787066583,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$932,489,514 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,"$92,366,739 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201100,NEW CASTLE,United States of America,Health Department,State Government,$0 
"OWENSVILLE PRIMARY CARE, INC",69398212,WEST RIVER,MD,207789998,ANNE ARUNDEL,United States of America,Other Health Organization,County Government,"$2,503,421 "
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,144676566,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"$12,369,223 "
Valley Health System,117372797,WINCHESTER,VA,226012808,**WINCHESTER,United States of America,Hospital,City Government,"$499,946 "
Association of State and Territorial Public Health Nutr,141079603,TUCSON,AZ,857407094,APACHE,United States of America,Health Department,State Government,$0 
HIPS - Clinical Services Department,961412939,WASHINGTON,DC,200023742,DISTRICT OF COLUMBIA,United States of America,Health Department,City Government,"$400,000 "
BALTIMORE CITY HEALTH DEPARTMENT,961539228,BALTIMORE,MD,212023418,**BALTIMORE CITY,United States of America,Health Department,City Government,"$22,445,236 "
"BALTIMORE COUNTY HEALTH DEPT, PUBLIC HEALTH NURSES SVCS",64875644,TOWSON,MD,21204,BALTIMORE,United States of America,Health Department,County Government,$0 
MONTGOMERY COUNTY HEALTH AND HUMAN SERVICES,62014378,ROCKVILLE,MD,20850,MONTGOMERY,United States of America,Health Department,County Government,"($696,111)"
PRINCE GEORGES COUNTY HEALTH DEPARTMENT,58592189,LARGO,MD,20774,PRINCE GEORGE'S,United States of America,Health Department,County Government,$0 
"HEALTH, MARYLAND DEPARTMENT OF",42426812,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"($238,431)"
"HEALTH, MARYLAND DEPARTMENT OF",134104855,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$40,464,252 "
"HEALTH, MARYLAND DEPARTMENT OF",135218621,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$30,109,951 "
"HEALTH, MARYLAND DEPARTMENT OF",143148679,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$41,847,336 "
"HEALTH, MARYLAND DEPARTMENT OF",144280372,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$653,501,756 "
"HEALTH, MARYLAND DEPARTMENT OF",153501114,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$1,385,383 "
"HEALTH, MARYLAND DEPARTMENT OF",614531549,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$8,377,792 "
"HEALTH, MARYLAND DEPARTMENT OF",614531796,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$3,986,822,786 "
"HEALTH, MARYLAND DEPARTMENT OF",878894849,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$3,902,519 "
MD ST MENTAL HYGIENE ADMINISTRATION,144280372,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,"$1,530,222 "
WALTER REED ARMY MEDICAL CENTER,129615428,WASHINGTON,DC,20012,DISTRICT OF COLUMBIA,United States of America,Hospital,Federal Government,"($1,912,227)"
DC DEPARTMENT OF HEALTH CARE FINANCE,106731248,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$122,840,454 "
DC ST Dept of Behavioral Health,14384031,WASHINGTON,DC,200023320,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$3,057,070 "
VA DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,809740541,HENRICO,VA,232295019,HENRICO,United States of America,Other Health Organization,State Government,"$45,153,887 "
VA ST DEPT OF GENERAL SERVICES,809740665,RICHMOND,VA,23219,**RICHMOND,United States of America,Other Health Organization,State Government,$0 
"BLAND COUNTY MEDICAL CLINIC, INC",796064582,BASTIAN,VA,243144547,BLAND,United States of America,Other Health Organization,County Government,"$3,395,720 "
VA ST DEPARTMENT OF MEDICAL ASSISTANCE SERVICES,809740467,RICHMOND,VA,232191856,**RICHMOND,United States of America,Other Health Organization,State Government,"$12,175,439,175 "
FAIRFAX COUNTY HEALTH SERVICES,74837626,FAIRFAX,VA,22030,**FAIRFAX,United States of America,Health Department,County Government,"($14,565)"
VA Dept of Behavioral Health and Developmental Services,627383102,RICHMOND,VA,232181797,**RICHMOND,United States of America,Health Department,State Government,"$91,450,121 "
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$2,284,098 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$158,256,843 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$36,082 "
VA ST DEPARTMENT OF HEALTH,829184618,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"($33,945)"
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$214,650 "
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$13,888,682 "
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,$0 
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$761,719,689 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$4,589,053 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$25,563,448 "
"HEALTH, VIRGINIA DEPARTMENT OF",602160298,Richmond,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"($370,000)"
"ROANE COUNTY FAMILY HEALTH CARE, INC",34937982,SPENCER,WV,25276,ROANE,United States of America,Other Health Organization,County Government,"$2,470,411 "
WV ST DEPT HLTH & HUMAN RESOURCE,37462715,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$2,032,280,399 "
WV ST DEPT HLTH & HUMAN RESOURCE,140779708,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,$0 
WV ST DEPT HLTH & HUMAN RESOURCE,148040327,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$320,882,756 "
WV ST DEPT HLTH & HUMAN RESOURCE,824700611,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$1,852,388 "
WV ST DEPT HLTH & HUMAN RESOURCE,928403682,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$49,057,762 "
"Health And Human Resources, West Virginia Department Of",140779708,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$216,926,274 "
"Health And Human Resources, West Virginia Department Of",618137715,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"($1,467,082)"
Jackson County Health Department,861071926,RIPLEY,WV,25271,JACKSON,United States of America,Health Department,County Government,$0 
WEST VIRGINIA DEPARTMENT OF HEALTH,140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$18,434,545 "
WEST VIRGINIA DEPARTMENT OF HEALTH,618137715,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"($2,567,107)"
"GREENE COUNTY HEALTH CARE, INC",82369166,SNOWHILL,NC,28580,GREENE,United States of America,Other Health Organization,County Government,"$22,229,308 "
"NC ST DEPT OF HEALTH AND HUMAN SRV, DIV OF  MH,DD,SAS",809785363,RALEIGH,NC,276993001,WAKE,United States of America,Other Health Organization,State Government,"($8,249,473)"
BLADEN COUNTY HEALTH DEPARTMENT,84171628,ELIZABETHTOWN,NC,28317,BLADEN,United States of America,Health Department,County Government,$0 
CLEVELAND COUNTY HEALTH DEPARTMENT,879924850,SHELBY,NC,28150,CLEVELAND,United States of America,Health Department,County Government,"$268,302 "
GASTON COUNTY DEPARTMENT OF HEALTH,71062186,GASTONIA,NC,28052,GASTON,United States of America,Health Department,County Government,$0 
MADISON COUNTY HEALTH DEPARTMENT,831052873,MARSHALL,NC,28753,MADISON,United States of America,Health Department,County Government,$0 
County of Transylvania,30494215,BREVARD,NC,28712,TRANSYLVANIA,United States of America,Health Department,County Government,"$229,996 "
WAKE COUNTY DEPARTMENT OF HEALTH,170300755,RALEIGH,NC,276204049,WAKE,United States of America,Hospital,County Government,"($297,373)"
CUMBERLAND COUNTY HEALTH DEPARTMENT,123914376,FAYETTEVILLE,NC,28302,CUMBERLAND,United States of America,Health Department,County Government,"($5,835)"
Stanly County,131060829,ALBEMARLE,NC,280012847,STANLY,United States of America,Health Department,County Government,$0 
"LEXINGTON/RICHLAND ALCOHOL & DRUG ABUSE COUNCIL, INC",944157007,COLUMBIA,SC,29203,RICHLAND,United States of America,Other Health Organization,City Government,"$41,000 "
Greenville County Commission on Alcohol and Drug Abuse,966622263,GREENVILLE,SC,296072410,GREENVILLE,United States of America,Other Health Organization,County Government,"$201,800 "
Chester County Commission on Alcohol and Drug Abuse,964833177,Chester,SC,297061524,CHESTER,United States of America,Other Health Organization,County Government,"$125,000 "
DHHS IHS PHOENIX AREA,79950017,PARKER,AZ,85344,LA PAZ,United States of America,Health Department,State Government,"$112,195 "
SC ST DEPT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29211,RICHLAND,United States of America,Health Department,State Government,"$610,149,415 "
South Carolina Department Health & Human Services,607243706,COLUMBIA,SC,29202,RICHLAND,United States of America,Other Health Organization,State Government,"$338,717 "
South Carolina Department Health & Human Services,808385892,COLUMBIA,SC,29202,RICHLAND,United States of America,Other Health Organization,State Government,"($2,785,979)"
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,$0 
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,$0 
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,$0 
"Lancaster, County of",86866944,LANCASTER,SC,297211809,LANCASTER,United States of America,Other Health Organization,County Government,$0 
SC ST DEPARTMENT OF MENTAL HEALTH,43980093,COLUMBIA,SC,29202,RICHLAND,United States of America,Health Department,State Government,"$26,092,394 "
COLUMBUS DEPARTMENT OF PUBLIC HEALTH,136663072,COLUMBUS,GA,31902,MUSCOGEE,United States of America,Health Department,City Government,$0 
LAURENS COUNTY BOARD OF HEALTH,143060593,DUBLIN,GA,31021,LAURENS,United States of America,Health Department,County Government,"$962,039 "
CLAYTON COUNTY HEALTH DEPARTMENT,962435579,JONESBORO,GA,30236,CLAYTON,United States of America,Health Department,County Government,"$1,039,233 "
HOUSTON COUNTY HEALTH DEPARTMENT,123374162,MACON,GA,31201,BIBB,United States of America,Health Department,County Government,"$1,017,800 "
LOWNDES COUNTY BOARD OF HEALTH,101007164,VALDOSTA,GA,316035147,LOWNDES,United States of America,Health Department,County Government,"$537,668 "
"THE FAMILY HEALTH CENTERS OF GEORGIA, INC",10105807,ATLANTA,GA,303102750,FULTON,United States of America,Hospital,County Government,"$13,283,131 "
GA ST DEPT OF COMMUNITY HEALTH,103886896,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$5,999,150 "
GA ST DEPT OF COMMUNITY HEALTH,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$4,839,358 "
GA ST DEPT OF MEDICAL ASSISTANCE,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Health Department,State Government,"$4,505,078,424 "
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",93125649,NEWTON GROVE,NC,28366,SAMPSON,United States of America,Hospital,County Government,"$20,164,996 "
DEKALB COUNTY BOARD OF HEALTH,42630975,DECATUR,GA,30030,DE KALB,United States of America,Health Department,County Government,"$1,002,831 "
CLARKE COUNTY BOARD OF HEALTH,102233116,ATHENS,GA,30605,CLARKE,United States of America,Other Health Organization,County Government,"$547,405 "
FLOYD COUNTY BOARD OF HEALTH,617083241,ROME,GA,30161,FLOYD,United States of America,Health Department,County Government,"$299,297 "
HALL COUNTY BOARD OF HEALTH,805622177,GAINESVILLE,GA,30501,HALL,United States of America,Health Department,County Government,$0 
WARE COUNTY BOARD OF HEALTH,39487210,WAYCROSS,GA,315013525,WARE,United States of America,Health Department,County Government,"$287,429 "
COBB COUNTY BOARD OF HEALTH,612931212,MARIETTA,GA,30060,COBB,United States of America,Health Department,County Government,"$1,253,209 "
TIFT REGIONAL MEDICAL CENTER,968649579,TIFTON,GA,31794,TIFT,United States of America,Hospital,City Government,"($974,613)"
FULTON COUNTY HEALTH DEPARTMENT,133894167,ATLANTA,GA,30303,FULTON,United States of America,Health Department,County Government,"$31,502,768 "
WAYNE COUNTY HEALTH DEPARTMENT,617082441,JESUP,GA,31545,WAYNE,United States of America,Health Department,County Government,$0 
CHATHAM COUNTY DEPARTMENT OF HEALTH,826501947,SAVANNAH,GA,314161257,CHATHAM,United States of America,Health Department,County Government,"$513,946 "
"LAKEVIEW CENTER, INC",98929524,PENSACOLA,FL,325011857,ESCAMBIA,United States of America,Hospital,County Government,"$140,254 "
"COMMUNITY HEALTH OF SOUTH FLORIDA, INC",72250160,MIAMI,FL,33170,,United States of America,Other Health Organization,County Government,"$36,964,770 "
FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA,84188598,FORT MYERS,FL,339021357,LEE,United States of America,Other Health Organization,County Government,"$24,574,367 "
"SUNCOAST COMMUNITY HEALTH CENTERS, INC",91654814,RUSKIN,FL,33570,HILLSBOROUGH,United States of America,Hospital,County Government,"$21,281,003 "
"FL DISABILITIES DEVELOPMENTAL COUNCIL, INC.",36530194,TALLAHASSEE,FL,323012981,LEON,United States of America,Health Department,State Government,"$4,134,518 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$1,965,739,136 "
OKALOOSA COUNTY HEALTH DEPT.,364215061,FT WALTON,FL,325485066,OKALOOSA,United States of America,Health Department,County Government,"$306,167 "
"Health, Florida Department of",364215061,TALLAHASSEE,FL,323991701,DUVAL,United States of America,Health Department,County Government,"$300,912 "
BROWARD COUNTY HEALTH DEPARTMENT,364215061,FORT LAUDERDALE,FL,33315,BROWARD,United States of America,Health Department,County Government,$0 
HENDRY COUNTY HEALTH DEPARTMENT,364215061,LABELLE,FL,33975,HENDRY,United States of America,Health Department,State Government,"$317,459 "
Baker County Health Department,364215061,MACCLENNY,FL,32063,BAKER,United States of America,Health Department,County Government,"$809,744 "
UNION COUNTY HEALTH DEPARTMENT,364215061,LAKE BUTLER,FL,320541731,UNION,United States of America,Health Department,State Government,"$2,835,673 "
WALTON COUNTY HEALTH DEPARTMENT,364215061,DEFUNIAK SPRINGS,FL,32433,WALTON,United States of America,Health Department,State Government,"$3,372,001 "
COMMUNITY HEALTH & HUMAN SCVS DEPARTMENT,69672137,TAMPA,FL,33602,HILLSBOROUGH,United States of America,Health Department,County Government,"$12,019,255 "
ORANGE COUNTY HEALTH DEPARTMENT,364215061,ORLANDO,FL,32804,ORANGE,United States of America,Health Department,County Government,"$1,072,229 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,360706212,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$295,862,697 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$715,034,681 "
FL ST DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,364215061,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$4,791,777 "
POLK COUNTY PUBLIC HEALTH UNIT,364215061,BARTOW,FL,33830,POLK,United States of America,Other Health Organization,County Government,"$546,633 "
FL ST FOR HEALTH CARE ADMINISTRATION,135837198,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$9,603,826,215 "
FL ST FOR HEALTH CARE ADMINISTRATION,364215061,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$7,421,303 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$514,048,878 "
UNIVERSITY OF FLORIDA,77758407,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$48,712 "
UNIVERSITY OF FLORIDA,969663814,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$64,404,811 "
BROWARD GENERAL MEDICAL CENTER,72252703,FORT LAUDERDALE,FL,33316,BROWARD,United States of America,Hospital,City Government,$0 
KY ST DEPARTMENT OF HEALTH,927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$649,346 "
KY ST CABINET FOR HEALTH AND FAMILY SERVICES,927049767,FRANKFORT,KY,40621,FRANKLIN,United States of America,Health Department,State Government,"$6,347,795,170 "
KY ST DEPT OF INS,40579752,FRANKFORT,KY,40601,FRANKLIN,United States of America,Other Health Organization,State Government,"($318,575)"
"KY Dept. for Behavioral Health, Dev. & Intell. Disabi",927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,$0 
"REGION 20 MENTAL HEALTH & MENTAL RETARDATION BOARD, INC",68135607,PRESTONSBURG,KY,41653,FLOYD,United States of America,Health Department,State Government,$0 
Oldham County Health Department,613454011,La Grange,KY,40031,OLDHAM,United States of America,Health Department,County Government,"$125,000 "
MADISON COUNTY HEALTH DEPARTMENT,137703609,RICHMOND,KY,404761208,MADISON,United States of America,Health Department,County Government,$0 
