,,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
ILLINOIS DEPT OF HUMAN SERVICES,806812558,CHICAGO,IL,60607,COOK,United States of America,Health Department,State Government,$0 
Grundy County Health Department,833046308,MORRIS,IL,604502426,GRUNDY,United States of America,Health Department,County Government,"$112,554 "
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,COOK,United States of America,Health Department,City Government,"$44,408,565 "
Bureau County Health Department,809874428,PRINCETON,IL,61356,BUREAU,United States of America,Health Department,County Government,"$125,000 "
Cook County Department of Public Health,131254885,OAK PARK,IL,60301,COOK,United States of America,Health Department,County Government,"$2,232,726 "
"COOK, COUNTY OF",89086292,CHICAGO,IL,606123723,COOK,United States of America,Health Department,County Government,"$1,000,000 "
DU PAGE CO HEALTH DEPT,110814543,WHEATON,IL,60187,DU PAGE,United States of America,Health Department,County Government,"$309,932 "
Henry County Health Department,46181843,KEWANEE,IL,61443,HENRY,United States of America,Health Department,County Government,$0 
"County of Lake, dba Lake County Health Department",104009394,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$125,000 "
"County of Lake, dba Lake County Health Department",112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$400,000 "
LAKE COUNTY HEALTH DEPARTMENT,112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$4,593,757 "
McHenry County - 22nd Judicial Circuit Department,82044694,WOODSTOCK,IL,600982637,MCHENRY,United States of America,Health Department,County Government,"$295,095 "
Whiteside County Health Department,784969420,ROCK FALLS,IL,610711005,WHITESIDE,United States of America,Health Department,County Government,"$1,700,573 "
DECATUR MEMORIAL HOSPITAL,46584991,DECATUR,IL,625264163,MACON,United States of America,Hospital,County Government,"$2,771,246 "
"CHESTNUT HEALTH SYSTEMS, INC",125086173,BLOOMINGTON,IL,617011429,MCLEAN,United States of America,Other Health Organization,County Government,"$5,176,297 "
SOUTHERN SEVEN HEALTH DEPARTMENT,35702315,ULLIN,IL,62992,PULASKI,United States of America,Health Department,State Government,"$4,890,841 "
IL ST COMP HEALTH INS PLAN,825165728,SPRINGFIELD,IL,627011150,SANGAMON,United States of America,Other Health Organization,State Government,"($716,233)"
CALHOUN COUNTY HEALTH DEPARTMENT,112427778,HARDIN,IL,62047,CALHOUN,United States of America,Health Department,County Government,"$68,259 "
MACOUPIN COUNTY PUBLIC HEALTH DEPARTMENT,947095568,CARLINVILLE,IL,626261075,MACOUPIN,United States of America,Health Department,County Government,"$2,018,575 "
IL ST DEPARTMENT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$57,216,199 "
CHAMPAIGN COUNTY REGIONAL PLAN COMM,3535551,URBANA,IL,618030339,CHAMPAIGN,United States of America,Other Health Organization,County Government,"$5,240,928 "
Egyptian Health Department,112426812,ELDORADO,IL,629303766,SALINE,United States of America,Health Department,County Government,"$2,600,000 "
Mid-Michigan District Health Department,196794820,STANTON,MI,488889702,MONTCALM,United States of America,Health Department,State Government,"$68,000 "
ALLEGAN COUNTY COMMUNITY MENTAL HEALTH SERVICES,168483022,ALLEGAN,MI,49010,ALLEGAN,United States of America,Other Health Organization,County Government,"$125,000 "
MI ST PROTECTION & ADVOCACY SERVICE,168482909,LANSING,MI,489331706,INGHAM,United States of America,Other Health Organization,State Government,"$2,379,019 "
Allegan County Community Mental Health Services,168483022,ALLEGAN,MI,490109511,ALLEGAN,United States of America,Other Health Organization,County Government,"$400,000 "
Michigan Department of Health and Human Services,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$116,000 "
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$13,785,241,719 "
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,805340163,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$2,597,899 "
DETROIT CITY HEALTH DEPARTMENT,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,City Government,"$9,214,569 "
County of Jackson,88328877,JACKSON,MI,49201,JACKSON,United States of America,Other Health Organization,State Government,"$324,500 "
Genesee County Health Department,619259146,FLINT,MI,485021525,GENESEE,United States of America,Health Department,County Government,"$680,250 "
KENT COUNTY HEALTH DEPARTMENT,20885463,GRAND RAPIDS,MI,49503,KENT,United States of America,Health Department,County Government,"$726,611 "
MARQUETTE COUNTY HEALTH DEPARTMENT,619760341,NEGAUNEE,MI,498669606,MARQUETTE,United States of America,Health Department,County Government,"($46,660)"
"OTTAWA, COUNTY OF",85899011,WEST OLIVE,MI,494608986,OTTAWA,United States of America,Other Health Organization,State Government,"$307,857 "
WAYNE CNTY DEPT OF HEALTH & COMMUNITY SVCS,73134884,WESTLAND,MI,48186,WAYNE,United States of America,Other Health Organization,County Government,"$11,269,609 "
"County of Ingham, Health Department",31875656,LANSING,MI,48909,INGHAM,United States of America,Health Department,County Government,"$3,551,324 "
MUSKEGON COUNTY COMMUNITY MENTAL HEALTH SERVICES BOARD,105780063,MESKEGON,MI,49442,MUSKEGON,United States of America,Other Health Organization,County Government,"$996,000 "
CHILDRENS HOSPITAL OF WISCONSIN INC,73847261,MILWAUKEE,WI,532011997,MILWAUKEE,United States of America,Hospital,City Government,"$7,974,435 "
"EAU CLAIRE, CITY OF",20495156,EAU CLAIRE,WI,547025148,EAU CLAIRE,United States of America,Health Department,City Government,"$125,000 "
MILWAUKEE CITY HEALTH DEPARTMENT,933451668,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,Health Department,City Government,"$1,140,000 "
City of Milwaukee,6434211,MILWAUKEE,WI,532023560,MILWAUKEE,United States of America,Health Department,City Government,"$400,000 "
ASHLAND COUNTY HOME HEALTH AGENCY,80236383,ASHLAND,WI,54891,BAYFIELD,United States of America,Other Health Organization,County Government,"$325,000 "
County of Grant dba Unified Community Services,77497068,LANCASTER,WI,538132202,GRANT,United States of America,Health Department,County Government,"$324,934 "
"LA CROSSE COUNTY HEALTH DEPT, NUTRITIONSERVICES",76504885,LA CROSSE,WI,54601,LA CROSSE,United States of America,Other Health Organization,County Government,"$131,853 "
Rock County Health Department,73845968,JANESVILLE,WI,535471088,ROCK,United States of America,Health Department,County Government,$0 
TAYLOR COUNTY NURSING SERVICE,848662490,MEDFORD,WI,54451,TAYLOR,United States of America,Other Health Organization,County Government,"$125,000 "
City of Franklin,21110432,FRANKLIN,WI,531329630,MILWAUKEE,United States of America,Health Department,City Government,"$125,000 "
WI Dept of Agriculture Trade & Consumer Protection,809035918,MADISON,WI,53718,DANE,United States of America,Other Health Organization,State Government,"$846,535 "
WI Department of Health Services Div. of MH & SA Svcs,36448835,MADISON,WI,53702,DANE,United States of America,Health Department,State Government,"$7,922,089 "
Wisconsin Department of Health Services.,36448835,MADISON,WI,53703,DANE,United States of America,Health Department,State Government,"$5,011,184 "
MN ST COMP HEALTH ASSOC,959121302,ST LOUIS PARK,MN,55416,HENNEPIN,United States of America,Other Health Organization,State Government,"($146,873)"
MINNEAPOLIS CITY DEPARTMENT OF HEALTH,66530411,MINNEAPOLIS,MN,55401,HENNEPIN,United States of America,Health Department,City Government,"$680,250 "
HENNEPIN COUNTY PILOT CITY HEALTH CENTER,134380054,MINNEAPOLIS,MN,55411,HENNEPIN,United States of America,Other Health Organization,City Government,"$2,374,819 "
"HENNEPIN CTY CMMTY HLTH DEPT, HLTH SVCS BLDG - LEVEL 3",780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$9,081,136 "
Hennepin County Human Services and Public Health Dept,780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$325,000 "
Kanabec County Public Health,17296687,BRUNSWICK,MN,55051,KANABEC,United States of America,Health Department,County Government,"$125,000 "
Morrison County Public Health,832111827,LITTLE FALLS,MN,563453138,MORRISON,United States of America,Health Department,County Government,$0 
OLMSTED COUNTY HEALTH DEPARTMENT,607622123,ROCHESTER,MN,559044722,OLMSTED,United States of America,Health Department,County Government,"$70,000 "
Renville County Public Health Services,47578646,OLIVIA,MN,56277,RENVILLE,United States of America,Health Department,County Government,"$125,000 "
Todd County,198541919,LONG PRAIRIE,MN,56347,TODD,United States of America,Health Department,County Government,"$125,000 "
Yellow Medicine County Courthouse,107971058,GRANITE FALLS,MN,56241,YELLOW MEDICINE,United States of America,Other Health Organization,County Government,$0 
MN ST DEPARTMENT OF HEALTH,804887321,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"$102,982,348 "
MN ST DEPARTMENT OF HEALTH,806418075,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"$210,000 "
"UNIVERSITY OF MINNESOTA, HOSPITALS & CLINICS",555917996,MINNEAPOLIS,MN,55455,HENNEPIN,United States of America,Hospital,State Government,$0 
RICE MEMORIAL HOSPITAL,10337533,WILLMAR,MN,56201,KANDIYOHI,United States of America,Hospital,City Government,"$47,127 "
IOWA DEPARTMENT OF INSPECTIONS & APPEALS,30365063,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"$815,000 "
IA ST COMMISSION FOR THE BLIND,808345938,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,"$61,070 "
IOWA DEPT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$210,624 "
Iowa Department of Human Services,137348624,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"$982,372 "
IA ST DEPARTMENT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$63,676,933 "
IA ST DEPARTMENT OF SUBSTANCE ABUSE,808345920,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,"$13,093,348 "
Siouxland District Health Department,612376533,SIOUX CITY,IA,511051435,WOODBURY,United States of America,Health Department,County Government,"$120,458 "
WASHINGTON COUNTY MEMORIAL HOSP,60563095,POTOSI,MO,63664,WASHINGTON,United States of America,Hospital,County Government,"$373,808 "
RICHLAND MEDICAL CENTER INC,109707703,RICHLAND,MO,65556,PULASKI,United States of America,Hospital,County Government,"$3,721,354 "
Missouri State Department of Agriculture,878192673,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$596,137 "
Taney County Health Department,627054083,BRANSON,MO,65616,TANEY,United States of America,Health Department,State Government,"$125,000 "
OR ST DEPT OF HUMAN SERVICES - SALEM,830459231,SALEM,OR,973014278,MARION,United States of America,Health Department,State Government,"$402,152 "
"City of Columbia, MO",71989024,COLUMBIA,MO,65201,BOONE,United States of America,Health Department,City Government,"$70,000 "
ST LOUIS CITY DEPARTMENT OF HEALTH & HOSPITALS,135747843,SAINT LOUIS,MO,63178,ST. LOUIS,United States of America,Health Department,City Government,"$6,343,148 "
ST LOUIS COUNTY DIVISION OF PUBLIC HEALTH,75913061,CLAYTON,MO,63105,ST. LOUIS,United States of America,Health Department,County Government,"$947,599 "
MISSISSIPPI COUNTY HEALTH DEPARTMENT,625826529,CHARLESTON,MO,638341335,MISSISSIPPI,United States of America,Health Department,County Government,"$584,999 "
KANSAS CITY HEALTH DEPARTMENT,40710712,KANSAS CITY,MO,64108,JACKSON,United States of America,Health Department,City Government,"$4,319,281 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65101,COLE,United States of America,Health Department,State Government,"$982,373 "
MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,878092600,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$121,391,792 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$10,721,976 "
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$36,004,709 "
ND ST Board of Pharmacy,72292746,BISMARCK,ND,585014700,BURLEIGH,United States of America,Other Health Organization,State Government,$0 
ND ST DEPARTMENT OF HEALTH,67976824,BISMARCK,ND,58501,BURLEIGH,United States of America,Health Department,State Government,"$22,738,602 "
NORTH DAKOTA DEPARTMENT OF AGRICULTURE,803096718,BISMARCK,ND,585050020,BURLEIGH,United States of America,Other Health Organization,State Government,"$125,000 "
UNITED TRIBES EDUCATION TECHNICAL CENTER,76517473,BISMARCK,ND,58501,BURLEIGH,United States of America,Other Health Organization,State Government,"$871,790 "
DAYTON HEALTH CENTER dba FIVE RIVERS HEALTH CENTER,968420617,DAYTON,OH,454062645,MONTGOMERY,United States of America,Hospital,State Government,"$3,664,505 "
Oregon Health Insurance Exchange Corporation,968740352,SALEM,OR,97301,MARION,United States of America,Other Health Organization,State Government,"($1,830,106)"
Hawaii Health Connector,78489360,HONOLULU,HI,968132963,HONOLULU,United States of America,Health Department,State Government,"($69,772,542)"
US PUBLIC HEALTH SERVICE INDIAN HOSPITAL,2329709,CASS LAKE,MN,56633,CASS,United States of America,Hospital,Federal Government,"$535,057 "
RAPID CITY REGIONAL HOSPITAL INC,68677160,RAPID CITY,SD,577096000,PENNINGTON,United States of America,Hospital,City Government,$0 
"ISABEL COMMUNITY CLINIC, INC",36105190,ISABEL,SD,57633,DEWEY,United States of America,Other Health Organization,City Government,"($565,664)"
DC HEALTH BENEFIT EXCHANGE AUTHORITY,79373354,WASHINGTON,DC,200051707,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$8,823,742 "
"COASTAL COMMUNITY HEALTH SERVICES, INC",78734820,BRUNSWICK,GA,315201974,GLYNN,United States of America,Health Department,State Government,"$1,482,556 "
Detroit Wayne Mental Health Authority,79148120,DETROIT,MI,48201,WAYNE,United States of America,Other Health Organization,County Government,$0 
SPOKANE TEACHING HEALTH CENTER,79201037,SPOKANE,WA,99210,SPOKANE,United States of America,Hospital,State Government,"$1,359,270 "
SD ST DEPT OF HUMAN SERVICES,180922833,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$937,875 "
SD ST DEPT OF HUMAN SERVICES,809587678,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$725,472 "
SD ST DEPT OF HUMAN SERVICES,959824129,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$497,888 "
SD ST DEPARTMENT OF HEALTH,809587710,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$24,323,288 "
"SIOUX FALLS, CITY OF",78034683,SIOUX FALLS,SD,571177402,MINNEHAHA,United States of America,Health Department,City Government,"$2,830,834 "
NE ST DEPARTMENT OF HEALTH,808819957,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$23,621,259 "
NE ST DEPARTMENT OF HEALTH,808820054,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$3,166,192 "
NE ST DIRECTOR SERVICES FOR THE VISUALLY IMPAIRED,197603798,LINCOLN,NE,68509,LANCASTER,United States of America,Other Health Organization,State Government,"$34,352 "
EAST-CENTRAL DISTRICT HEALTH DEPT,49717502,COLUMBUS,NE,686017233,PLATTE,United States of America,Health Department,County Government,"$2,704,055 "
"NEW JERSEY INNOVATION INSTITUTE, INC.",79690412,NEWARK,NJ,7102,ESSEX,United States of America,Other Health Organization,State Government,"$4,774,770 "
LANCASTER COUNTY HEALTH DEPARTMENT,51259786,LINCOLN,NE,68510,LANCASTER,United States of America,Health Department,County Government,"$140,000 "
Univ. of Kansas Hospital Authority,23806040,KANSAS CITY,KS,662052005,WYANDOTTE,United States of America,Hospital,State Government,"$4,281,537 "
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,175941483,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$2,036,885,868 "
KS DEPARTMENT OF HLTH & ENVIRONMENT,175941483,TOPEKA,KS,666121290,SHAWNEE,United States of America,Health Department,State Government,"($79,742)"
County of Allen,83123703,IOLA,KS,66749,ALLEN,United States of America,Other Health Organization,State Government,"$191,496 "
LAWRENCE-DOUGLAS COUNTY HEALTH DEPARTMENT,150501336,LAWRENCE,KS,660441396,DOUGLAS,United States of America,Health Department,County Government,"$403,720 "
LABETTE COUNTY MEDICAL CENTER,964098136,PARSONS,KS,67357,LABETTE,United States of America,Hospital,County Government,"($6,592)"
"CT ST HLTH REINS ASSOC, C/O POOL ADMIN, INC",138830398,WETHERSFIELD,CT,6109,HARTFORD,United States of America,Other Health Organization,State Government,"($90,560)"
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$908,042 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,625227608,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$417,160 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,784115669,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$100,000 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,938915035,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"($370,601)"
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",103989187,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$53,135,860 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$12,317,161 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134776967,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$63,495,394 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",625227608,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$6,762,610 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",784115669,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$1,277,680,730 "
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",809851041,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$1,870,325 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,70596341,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,"$45,802 "
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,"$7,256,318 "
Delaware Health Care Commission,103989187,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,"$45,575 "
Delaware Health Care Commission,137676875,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,"$402,813 "
"OWENSVILLE PRIMARY CARE, INC",69398212,WEST RIVER,MD,207789998,ANNE ARUNDEL,United States of America,Other Health Organization,County Government,"$992,243 "
MD ST DEPARTMENT OF HEALTH & MENTAL HYGIENE,143148679,WESTOVER,MD,21871,SOMERSET,United States of America,Health Department,State Government,"$2,920,078 "
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,144676566,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"$33,721,671 "
Association of State and Territorial Public Health Nutr,141079603,TUCSON,AZ,857407094,APACHE,United States of America,Health Department,State Government,"$1,221,005 "
WORCESTER COUNTY HEALTH DEPARTMENT,792865131,SNOW HILL,MD,21863,WORCESTER,United States of America,Health Department,County Government,"$275,000 "
BALTIMORE CITY HEALTH DEPARTMENT,961539228,BALTIMORE,MD,212023418,**BALTIMORE CITY,United States of America,Health Department,City Government,"$34,972,998 "
ANNE ARUNDEL COUNTY HEALTH DEPARTMENT,69073922,ANNAPOLIS,MD,21401,ANNE ARUNDEL,United States of America,Health Department,County Government,"$325,000 "
MONTGOMERY COUNTY HEALTH AND HUMAN SERVICES,62014378,ROCKVILLE,MD,20850,MONTGOMERY,United States of America,Health Department,County Government,"$999,828 "
PRINCE GEORGES COUNTY HEALTH DEPARTMENT,58592189,LARGO,MD,20774,PRINCE GEORGE'S,United States of America,Health Department,County Government,$0 
"HEALTH, MARYLAND DEPARTMENT OF",42426812,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$7,209,458 "
"HEALTH, MARYLAND DEPARTMENT OF",78474712,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"($7,892,130)"
"HEALTH, MARYLAND DEPARTMENT OF",79175393,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$200,000 "
"HEALTH, MARYLAND DEPARTMENT OF",134104855,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$37,812,065 "
"HEALTH, MARYLAND DEPARTMENT OF",135218621,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$13,909,986 "
"HEALTH, MARYLAND DEPARTMENT OF",143148679,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$51,912,547 "
"HEALTH, MARYLAND DEPARTMENT OF",144280372,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$16,731,673 "
"HEALTH, MARYLAND DEPARTMENT OF",153501114,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$15,794,161 "
"HEALTH, MARYLAND DEPARTMENT OF",614531549,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$6,961,618 "
"HEALTH, MARYLAND DEPARTMENT OF",614531796,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$6,533,762,288 "
"HEALTH, MARYLAND DEPARTMENT OF",808285147,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$4,017,625 "
"HEALTH, MARYLAND DEPARTMENT OF",967509576,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$982,373 "
MD ST MENTAL HYGIENE ADMINISTRATION,135218621,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,"$1,272,182 "
WALTER REED ARMY MEDICAL CENTER,129615428,WASHINGTON,DC,20012,DISTRICT OF COLUMBIA,United States of America,Hospital,Federal Government,"$2,177,654 "
DC DEPARTMENT OF HEALTH CARE FINANCE,14384031,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$950,000 "
DC DEPARTMENT OF HEALTH CARE FINANCE,106731248,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$24,599,418 "
"DC DEPT of Health, Addiction Prevention&Recovery Admin.",106731248,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$647,807 "
District of Columbia Department of Mental Health,14384031,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,$0 
DC ST Dept of Behavioral Health,14384031,WASHINGTON,DC,200023320,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$7,015,999 "
VA DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,809740541,HENRICO,VA,232295019,HENRICO,United States of America,Other Health Organization,State Government,"$35,423,508 "
VA ST DEPT OF GENERAL SERVICES,809740665,RICHMOND,VA,23219,**RICHMOND,United States of America,Other Health Organization,State Government,"$1,718,507 "
"BLAND COUNTY MEDICAL CLINIC, INC",796064582,BASTIAN,VA,243144547,BLAND,United States of America,Other Health Organization,County Government,"$1,786,229 "
VA ST DEPARTMENT OF MEDICAL ASSISTANCE SERVICES,809740467,RICHMOND,VA,232191856,**RICHMOND,United States of America,Other Health Organization,State Government,"$3,422,393,477 "
The City of Bristol Virginia,74914581,BRISTOL,VA,24201,**BRISTOL,United States of America,Other Health Organization,State Government,"$275,356 "
FAIRFAX COUNTY HEALTH SERVICES,74837626,FAIRFAX,VA,22030,**FAIRFAX,United States of America,Health Department,County Government,"$42,876 "
Henrico County,74735515,HENRICO,VA,232282745,HENRICO,United States of America,Health Department,County Government,"$396,204 "
RICHMOND CITY DEPARTMENT OF PUBLIC HEALTH,3133840,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,City Government,"$680,250 "
VA Dept of Behavioral Health and Developmental Services,627383102,RICHMOND,VA,232181797,**RICHMOND,United States of America,Health Department,State Government,"$65,909,308 "
VA Dept. of Behavioral Health and Developmental Service,627383102,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"($1,648,188)"
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$20,764,402 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$20,010,054 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$19,474,538 "
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$45,268 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$1,570,240 "
VA ST DEPARTMENT OF HEALTH,602160298,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$472,764 "
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$24,186,273 "
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$27,004,255 "
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$309,288 "
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$29,924,053 "
"ROANE COUNTY FAMILY HEALTH CARE, INC",34937982,SPENCER,WV,25276,ROANE,United States of America,Other Health Organization,County Government,"$1,052,093 "
WV ST DEPT HLTH & HUMAN RESOURCE,37462715,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$2,180,881,224 "
WV ST DEPT HLTH & HUMAN RESOURCE,148040327,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$234,206,310 "
WV ST DEPT HLTH & HUMAN RESOURCE,824700611,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$1,436,368 "
WV ST DEPT HLTH & HUMAN RESOURCE,928403682,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$58,597,197 "
"Health And Human Resources, West Virginia Department Of",140779708,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$41,807,058 "
"Health And Human Resources, West Virginia Department Of",618137715,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$5,372,562 "
"WV ST DEPARTMENT OF HEALTH, ALCOHOL & DRUG ABUSE PROG",140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$927,721 "
Jackson County Health Department,861071926,RIPLEY,WV,25271,JACKSON,United States of America,Health Department,County Government,"$125,000 "
WEST VIRGINIA DEPARTMENT OF HEALTH,618137715,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$11,338,764 "
"GREENE COUNTY HEALTH CARE, INC",82369166,SNOWHILL,NC,28580,GREENE,United States of America,Other Health Organization,County Government,"$8,538,479 "
CLEVELAND COUNTY HEALTH DEPARTMENT,879924850,SHELBY,NC,28150,CLEVELAND,United States of America,Health Department,County Government,"$114,579 "
"DURHAM, COUNTY OF",4874228,DURHAM,NC,277013649,DURHAM,United States of America,Health Department,County Government,"$375,000 "
