Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,26.8,23.8,29.9,23.8 - 29.9,24.8-28.6
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,34.5,28.8,40.5,28.8 - 40.5,30.7-36.0
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,24.7,21.0,28.6,21.0 - 28.6,19.6-24.7
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,24.0,19.7,28.8,19.7 - 28.8,19.6-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,34.3,33.6,35.1,33.6 - 35.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,46.6,44.0,49.2,44.0 - 49.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,39.5,37.9,41.1,37.9 - 41.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.7,34.2,37.4,34.2 - 37.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.7,32.0,35.4,32.0 - 35.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,27.4,25.7,29.1,25.7 - 29.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,18.8,16.5,21.2,16.5 - 21.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,20.1,14.0,27.5,14.0 - 27.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,30.3,29.1,31.5,29.1 - 31.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,38.1,37.0,39.2,37.0 - 39.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,41.5,38.6,44.5,38.6 - 44.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,32.3,31.4,33.3,31.4 - 33.3,
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.6,32.9,38.3,32.9 - 38.3,
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,27.6,24.5,30.8,24.5 - 30.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,43.4,39.5,47.4,39.5 - 47.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,47.7,43.4,52.1,43.4 - 52.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.3,33.6,37.1,33.6 - 37.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,37.6,36.4,38.8,36.4 - 38.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,27.0,26.1,27.9,26.1 - 27.9,
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.8,23.9,34.0,23.9 - 34.0,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,36.4,31.5,41.4,31.5 - 41.4,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.5,31.3,39.8,31.3 - 39.8,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.8,28.4,39.6,28.4 - 39.6,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,36.2,32.8,39.7,32.8 - 39.7,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.5,29.8,37.4,29.8 - 37.4,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.0,23.5,32.7,23.5 - 32.7,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.1,26.6,35.9,26.6 - 35.9,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,34.2,28.5,40.2,28.5 - 40.2,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,39.1,36.3,41.9,36.3 - 41.9,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,37.5,33.3,41.8,33.3 - 41.8,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,26.6,21.9,31.7,21.9 - 31.7,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,24.8,20.0,30.2,20.0 - 30.2,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.6,30.8,40.5,30.8 - 40.5,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.2,31.8,38.7,31.8 - 38.7,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,25.9,21.7,30.4,21.7 - 30.4,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.2,29.2,37.4,29.2 - 37.4,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,34.7,29.2,40.4,29.2 - 40.4,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,41.4,36.0,47.1,36.0 - 47.1,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,27.8,23.5,32.4,23.5 - 32.4,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.6,27.6,35.9,27.6 - 35.9,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,29.5,25.8,33.4,25.8 - 33.4,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,32.8,28.7,37.0,28.7 - 37.0,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,26.1,22.4,30.0,22.4 - 30.0,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,37.8,33.1,42.7,33.1 - 42.7,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,32.9,28.2,37.9,28.2 - 37.9,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,30.7,25.8,36.0,25.8 - 36.0,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.1,24.7,31.6,24.7 - 31.6,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,40.7,36.6,45.0,36.6 - 45.0,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.1,26.9,35.6,26.9 - 35.6,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.1,27.5,35.0,27.5 - 35.0,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,39.1,34.4,43.9,34.4 - 43.9,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,32.3,28.5,36.2,28.5 - 36.2,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.1,22.6,34.2,22.6 - 34.2,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,34.6,30.9,38.5,30.9 - 38.5,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,32.8,28.9,36.9,28.9 - 36.9,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.3,31.4,39.4,31.4 - 39.4,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.9,30.0,38.0,30.0 - 38.0,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.8,28.8,39.1,28.8 - 39.1,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,32.2,27.3,37.3,27.3 - 37.3,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,36.3,30.7,42.2,30.7 - 42.2,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.1,28.9,37.5,28.9 - 37.5,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,37.7,33.8,41.7,33.8 - 41.7,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.9,27.5,36.5,27.5 - 36.5,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.8,23.3,34.8,23.3 - 34.8,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,33.1,29.8,36.5,29.8 - 36.5,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.8,28.7,35.0,28.7 - 35.0,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,37.9,32.3,43.8,32.3 - 43.8,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.9,24.6,33.5,24.6 - 33.5,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,28.3,23.6,33.4,23.6 - 33.4,24.8-29.5
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.3,24.7,25.8,24.7 - 25.8,
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,36.8,34.8,38.8,34.8 - 38.8,
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,27.9,26.6,29.2,26.6 - 29.2,
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.7,24.2,27.3,24.2 - 27.3,
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.1,23.4,26.8,23.4 - 26.8,
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,18.0,16.7,19.3,16.7 - 19.3,
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,15.5,13.5,17.6,13.5 - 17.6,
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,14.9,10.7,20.0,10.7 - 20.0,
Symptoms of Depressive Disorder,By Sex,United States,Male,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.0,22.0,23.9,22.0 - 23.9,
Symptoms of Depressive Disorder,By Sex,United States,Female,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,27.4,26.6,28.2,26.6 - 28.2,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,26.3,24.6,28.1,24.6 - 28.1,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.7,22.9,24.4,22.9 - 24.4,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,29.9,27.7,32.2,27.7 - 32.2,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,22.0,19.5,24.7,19.5 - 24.7,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,37.6,33.3,42.0,33.3 - 42.0,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,31.9,28.6,35.4,28.6 - 35.4,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,27.8,26.3,29.5,26.3 - 29.5,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,27.8,26.7,29.0,26.7 - 29.0,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,18.6,17.7,19.6,17.7 - 19.6,
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,28.4,23.6,33.5,23.6 - 33.5,26.9-31.8
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,24.4,20.1,29.2,20.1 - 29.2,24.4-26.8
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.9,20.4,27.6,20.4 - 27.6,21.5-24.3
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,28.9,24.9,33.1,24.9 - 33.1,26.9-31.8
Symptoms of Depressive Disorder,By State,California,California,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,26.9,24.6,29.4,24.6 - 29.4,26.9-31.8
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.9,20.0,28.0,20.0 - 28.0,21.5-24.3
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.4,21.7,29.4,21.7 - 29.4,24.4-26.8
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,20.7,16.4,25.6,16.4 - 25.6,17.0-21.4
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,21.3,17.2,25.9,17.2 - 25.9,17.0-21.4
Symptoms of Depressive Disorder,By State,Florida,Florida,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,29.6,26.9,32.3,26.9 - 32.3,26.9-31.8
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,24.5,21.3,28.1,21.3 - 28.1,24.4-26.8
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,17.0,13.6,20.9,13.6 - 20.9,17.0-21.4
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.8,19.2,28.8,19.2 - 28.8,21.5-24.3
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,26.9,23.7,30.3,23.7 - 30.3,26.9-31.8
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.6,22.2,29.3,22.2 - 29.3,24.4-26.8
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,22.6,19.5,25.9,19.5 - 25.9,21.5-24.3
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.1,19.7,26.8,19.7 - 26.8,21.5-24.3
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,28.5,24.3,32.9,24.3 - 32.9,26.9-31.8
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,26.8,22.6,31.3,22.6 - 31.3,24.4-26.8
Symptoms of Depressive Disorder,By State,Maine,Maine,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,18.5,15.2,22.2,15.2 - 22.2,17.0-21.4
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,21.9,18.9,25.0,18.9 - 25.0,21.5-24.3
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,20.3,17.2,23.7,17.2 - 23.7,17.0-21.4
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.9,22.8,29.2,22.8 - 29.2,24.4-26.8
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,19.1,16.2,22.1,16.2 - 22.1,17.0-21.4
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,28.6,24.8,32.7,24.8 - 32.7,26.9-31.8
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,24.5,21.0,28.3,21.0 - 28.3,24.4-26.8
Symptoms of Depressive Disorder,By State,Montana,Montana,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,20.5,15.2,26.8,15.2 - 26.8,17.0-21.4
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,18.2,15.3,21.4,15.3 - 21.4,17.0-21.4
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,20.2,17.3,23.3,17.3 - 23.3,17.0-21.4
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,22.6,19.4,26.1,19.4 - 26.1,21.5-24.3
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.8,22.0,29.8,22.0 - 29.8,24.4-26.8
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,24.3,20.1,28.9,20.1 - 28.9,21.5-24.3
Symptoms of Depressive Disorder,By State,New York,New York,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,22.3,18.9,26.0,18.9 - 26.0,21.5-24.3
