Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
EASTER SEALS METROPOLITAN CHICAGO,68497114,CHICAGO,IL,60604,COOK,United States of America,Other Health Organization,State Government,"$9,369,999 ",2017
Will County Health Department,144385155,JOLIET,IL,604332799,WILL,United States of America,Health Department,County Government,"$1,988,178 ",2017
ILLINOIS DEPT OF HUMAN SERVICES,67919071,CHICAGO,IL,60607,COOK,United States of America,Health Department,State Government,"$1,007,761,684 ",2017
Grundy County Health Department,833046308,MORRIS,IL,604502426,GRUNDY,United States of America,Health Department,County Government,"$99,470 ",2017
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,COOK,United States of America,Health Department,City Government,"$45,311,119 ",2017
Bureau County Health Department,809874428,PRINCETON,IL,61356,BUREAU,United States of America,Health Department,County Government,"$125,000 ",2017
"COOK, COUNTY OF",89086292,CHICAGO,IL,606123723,COOK,United States of America,Health Department,County Government,"$1,000,000 ",2017
DU PAGE CO HEALTH DEPT,110814543,WHEATON,IL,60187,DU PAGE,United States of America,Health Department,County Government,"$697,155 ",2017
"County of Lake, dba Lake County Health Department",112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$1,239,438 ",2017
LAKE COUNTY HEALTH DEPARTMENT,112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$4,830,162 ",2017
McHenry County - 22nd Judicial Circuit Department,82044694,WOODSTOCK,IL,600982637,MCHENRY,United States of America,Health Department,County Government,"$295,095 ",2017
Whiteside County Health Department,784969420,ROCK FALLS,IL,610711005,WHITESIDE,United States of America,Health Department,County Government,"$1,966,757 ",2017
DECATUR MEMORIAL HOSPITAL,46584991,DECATUR,IL,625264163,MACON,United States of America,Hospital,County Government,"$2,948,688 ",2017
"CHESTNUT HEALTH SYSTEMS, INC",125086173,BLOOMINGTON,IL,617011429,MCLEAN,United States of America,Other Health Organization,County Government,"$6,093,960 ",2017
SOUTHERN SEVEN HEALTH DEPARTMENT,35702315,ULLIN,IL,62992,PULASKI,United States of America,Health Department,State Government,"$4,627,223 ",2017
CALHOUN COUNTY HEALTH DEPARTMENT,112427778,HARDIN,IL,62047,CALHOUN,United States of America,Health Department,County Government,$0 ,2017
MACOUPIN COUNTY PUBLIC HEALTH DEPARTMENT,947095568,CARLINVILLE,IL,626261075,MACOUPIN,United States of America,Health Department,County Government,"$2,172,627 ",2017
IL ST DEPARTMENT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$64,381,557 ",2017
CHAMPAIGN COUNTY REGIONAL PLAN COMM,3535551,URBANA,IL,618030339,CHAMPAIGN,United States of America,Other Health Organization,County Government,"$5,191,471 ",2017
Egyptian Health Department,112426812,ELDORADO,IL,629303766,SALINE,United States of America,Health Department,County Government,"$1,000,000 ",2017
Mid-Michigan District Health Department,196794820,STANTON,MI,488889702,MONTCALM,United States of America,Health Department,State Government,"$68,000 ",2017
ALLEGAN COUNTY COMMUNITY MENTAL HEALTH SERVICES,168483022,ALLEGAN,MI,49010,ALLEGAN,United States of America,Other Health Organization,County Government,"$125,000 ",2017
MI ST PROTECTION & ADVOCACY SERVICE,168482909,LANSING,MI,489331706,INGHAM,United States of America,Other Health Organization,State Government,"$2,284,004 ",2017
Community Mental Health Services of St. Joseph County,617303250,CENTREVILLE,MI,490328525,ST. JOSEPH,United States of America,Hospital,County Government,"($422,495)",2017
Allegan County Community Mental Health Services,168483022,ALLEGAN,MI,490109511,ALLEGAN,United States of America,Other Health Organization,County Government,"$400,000 ",2017
Michigan Department of Health and Human Services,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$436,000 ",2017
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$12,911,675,380 ",2017
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,805340163,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$2,606,056 ",2017
DETROIT CITY HEALTH DEPARTMENT,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,City Government,"$9,049,150 ",2017
County of Jackson,88328877,JACKSON,MI,49201,JACKSON,United States of America,Other Health Organization,State Government,"$323,354 ",2017
Genesee County Health Department,619259146,FLINT,MI,485021525,GENESEE,United States of America,Health Department,County Government,"$15,568,310 ",2017
KENT COUNTY HEALTH DEPARTMENT,20885463,GRAND RAPIDS,MI,49503,KENT,United States of America,Health Department,County Government,"$508,628 ",2017
"OTTAWA, COUNTY OF",85899011,WEST OLIVE,MI,494608986,OTTAWA,United States of America,Other Health Organization,State Government,"$325,000 ",2017
WAYNE CNTY DEPT OF HEALTH & COMMUNITY SVCS,73134884,WESTLAND,MI,48186,WAYNE,United States of America,Other Health Organization,County Government,"$6,418,431 ",2017
"County of Ingham, Health Department",31875656,LANSING,MI,48909,INGHAM,United States of America,Health Department,County Government,"$3,851,154 ",2017
MUSKEGON COUNTY COMMUNITY MENTAL HEALTH SERVICES BOARD,105780063,MESKEGON,MI,49442,MUSKEGON,United States of America,Other Health Organization,County Government,"$995,901 ",2017
CHILDRENS HOSPITAL OF WISCONSIN INC,73847261,MILWAUKEE,WI,532011997,MILWAUKEE,United States of America,Hospital,City Government,"$7,782,861 ",2017
"EAU CLAIRE, CITY OF",20495156,EAU CLAIRE,WI,547025148,EAU CLAIRE,United States of America,Health Department,City Government,"$125,000 ",2017
MILWAUKEE CITY HEALTH DEPARTMENT,933451668,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,Health Department,City Government,"$1,070,000 ",2017
City of Milwaukee,6434211,MILWAUKEE,WI,532023560,MILWAUKEE,United States of America,Health Department,City Government,$0 ,2017
ASHLAND COUNTY HOME HEALTH AGENCY,80236383,ASHLAND,WI,54891,BAYFIELD,United States of America,Other Health Organization,County Government,"$325,000 ",2017
County of Grant dba Unified Community Services,77497068,LANCASTER,WI,538132202,GRANT,United States of America,Health Department,County Government,"$324,251 ",2017
"LA CROSSE COUNTY HEALTH DEPT, NUTRITIONSERVICES",76504885,LA CROSSE,WI,54601,LA CROSSE,United States of America,Other Health Organization,County Government,"$131,853 ",2017
TAYLOR COUNTY NURSING SERVICE,848662490,MEDFORD,WI,54451,TAYLOR,United States of America,Other Health Organization,County Government,"$125,500 ",2017
City of Franklin,21110432,FRANKLIN,WI,531329630,MILWAUKEE,United States of America,Health Department,City Government,"$125,000 ",2017
WI Dept of Agriculture Trade & Consumer Protection,809035918,MADISON,WI,53718,DANE,United States of America,Other Health Organization,State Government,"$495,095 ",2017
WI Department of Health Services Div. of MH & SA Svcs,36448835,MADISON,WI,53702,DANE,United States of America,Health Department,State Government,"$1,000,000 ",2017
Wisconsin Department of Health Services.,36448835,MADISON,WI,53703,DANE,United States of America,Health Department,State Government,"$7,839,978 ",2017
MINNEAPOLIS CITY DEPARTMENT OF HEALTH,66530411,MINNEAPOLIS,MN,55401,HENNEPIN,United States of America,Health Department,City Government,"$673,542 ",2017
HENNEPIN COUNTY PILOT CITY HEALTH CENTER,134380054,MINNEAPOLIS,MN,55411,HENNEPIN,United States of America,Other Health Organization,City Government,"$1,473,814 ",2017
"HENNEPIN CTY CMMTY HLTH DEPT, HLTH SVCS BLDG - LEVEL 3",780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$8,997,103 ",2017
Hennepin County Human Services and Public Health Dept,780076696,MINNEAPOLIS,MN,55415,HENNEPIN,United States of America,Health Department,County Government,"$325,000 ",2017
Kanabec County Public Health,17296687,BRUNSWICK,MN,55051,KANABEC,United States of America,Health Department,County Government,"$125,000 ",2017
OLMSTED COUNTY HEALTH DEPARTMENT,607622123,ROCHESTER,MN,559044722,OLMSTED,United States of America,Health Department,County Government,"$69,885 ",2017
Renville County Public Health Services,47578646,OLIVIA,MN,56277,RENVILLE,United States of America,Health Department,County Government,"$125,000 ",2017
Todd County,198541919,LONG PRAIRIE,MN,56347,TODD,United States of America,Health Department,County Government,"$125,000 ",2017
MN ST DEPARTMENT OF HEALTH,804887321,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"$102,713,521 ",2017
MN ST DEPARTMENT OF HEALTH,806418075,SAINT PAUL,MN,551640975,RAMSEY,United States of America,Health Department,State Government,"($210,000)",2017
RICE MEMORIAL HOSPITAL,10337533,WILLMAR,MN,56201,KANDIYOHI,United States of America,Hospital,City Government,"$47,127 ",2017
IOWA DEPARTMENT OF INSPECTIONS & APPEALS,30365063,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,"$782,790 ",2017
IA ST COMMISSION FOR THE BLIND,808345938,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,$0 ,2017
IOWA DEPT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"($210,624)",2017
Iowa Department of Human Services,137348624,DES MOINES,IA,50319,POLK,United States of America,Health Department,State Government,$0 ,2017
IA ST DEPARTMENT OF PUBLIC HEALTH,808345920,DES MOINES,IA,503190075,POLK,United States of America,Health Department,State Government,"$73,418,633 ",2017
IA ST DEPARTMENT OF SUBSTANCE ABUSE,808345920,DES MOINES,IA,50309,POLK,United States of America,Other Health Organization,State Government,"$13,093,501 ",2017
WASHINGTON COUNTY MEMORIAL HOSP,60563095,POTOSI,MO,63664,WASHINGTON,United States of America,Hospital,County Government,"$362,927 ",2017
RICHLAND MEDICAL CENTER INC,109707703,RICHLAND,MO,65556,PULASKI,United States of America,Hospital,County Government,"$3,229,359 ",2017
Missouri State Department of Agriculture,878192673,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$1,048,543 ",2017
Taney County Health Department,627054083,BRANSON,MO,65616,TANEY,United States of America,Health Department,State Government,"($101,829)",2017
OR ST DEPT OF HUMAN SERVICES - SALEM,830459231,SALEM,OR,973014278,MARION,United States of America,Health Department,State Government,"$793,195 ",2017
ST LOUIS CITY DEPARTMENT OF HEALTH & HOSPITALS,135747843,SAINT LOUIS,MO,63178,ST. LOUIS,United States of America,Health Department,City Government,"$6,275,826 ",2017
ST LOUIS COUNTY DIVISION OF PUBLIC HEALTH,75913061,CLAYTON,MO,63105,ST. LOUIS,United States of America,Health Department,County Government,"$1,347,651 ",2017
MISSISSIPPI COUNTY HEALTH DEPARTMENT,625826529,CHARLESTON,MO,638341335,MISSISSIPPI,United States of America,Health Department,County Government,"$584,999 ",2017
KANSAS CITY HEALTH DEPARTMENT,40710712,KANSAS CITY,MO,64108,JACKSON,United States of America,Health Department,City Government,"$4,535,246 ",2017
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65101,COLE,United States of America,Health Department,State Government,$0 ,2017
MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,878092600,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$129,415,160 ",2017
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$18,801,566 ",2017
MO ST DEPARTMENT OF MENTAL HEALTH,780871430,JEFFERSON CITY,MO,65102,COLE,United States of America,Health Department,State Government,"$36,393,107 ",2017
ND ST Board of Pharmacy,72292746,BISMARCK,ND,585014700,BURLEIGH,United States of America,Other Health Organization,State Government,$0 ,2017
ND ST DEPARTMENT OF HEALTH,67976824,BISMARCK,ND,58501,BURLEIGH,United States of America,Health Department,State Government,"$22,281,670 ",2017
NORTH DAKOTA DEPARTMENT OF AGRICULTURE,803096718,BISMARCK,ND,585050020,BURLEIGH,United States of America,Other Health Organization,State Government,"$125,000 ",2017
UNITED TRIBES EDUCATION TECHNICAL CENTER,76517473,BISMARCK,ND,58501,BURLEIGH,United States of America,Other Health Organization,State Government,"$826,470 ",2017
DAYTON HEALTH CENTER dba FIVE RIVERS HEALTH CENTER,968420617,DAYTON,OH,454062645,MONTGOMERY,United States of America,Hospital,State Government,"$4,649,768 ",2017
US PUBLIC HEALTH SERVICE INDIAN HOSPITAL,2329709,CASS LAKE,MN,56633,CASS,United States of America,Hospital,Federal Government,"$455,057 ",2017
RAPID CITY REGIONAL HOSPITAL INC,68677160,RAPID CITY,SD,577096000,PENNINGTON,United States of America,Hospital,City Government,"($120,845)",2017
"COASTAL COMMUNITY HEALTH SERVICES, INC",78734820,BRUNSWICK,GA,315201974,GLYNN,United States of America,Health Department,State Government,"$2,163,523 ",2017
Detroit Wayne Mental Health Authority,79148120,DETROIT,MI,48201,WAYNE,United States of America,Other Health Organization,County Government,$0 ,2017
SPOKANE TEACHING HEALTH CENTER,79201037,SPOKANE,WA,99210,SPOKANE,United States of America,Hospital,State Government,"$1,426,518 ",2017
SD ST DEPT OF HUMAN SERVICES,180922833,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$938,405 ",2017
SD ST DEPT OF HUMAN SERVICES,809587678,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$5,110,199 ",2017
SD ST DEPT OF HUMAN SERVICES,809587900,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$40,693 ",2017
SD ST DEPT OF HUMAN SERVICES,959824129,PIERRE,SD,57501,HUGHES,United States of America,Health Department,State Government,"$499,452 ",2017
SD ST DEPARTMENT OF HEALTH,809587678,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$200,000 ",2017
SD ST DEPARTMENT OF HEALTH,809587710,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$24,234,489 ",2017
SD ST DEPARTMENT OF HEALTH,824799407,PIERRE,SD,575015070,HUGHES,United States of America,Health Department,State Government,"$15,553,982 ",2017
"SIOUX FALLS, CITY OF",78034683,SIOUX FALLS,SD,571177402,MINNEHAHA,United States of America,Health Department,City Government,"$3,144,279 ",2017
NE ST DEPARTMENT OF HEALTH,190827162,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$3,090,644 ",2017
NE ST DEPARTMENT OF HEALTH,808819957,LINCOLN,NE,68509,LANCASTER,United States of America,Health Department,State Government,"$17,425,557 ",2017
NE ST DIRECTOR SERVICES FOR THE VISUALLY IMPAIRED,197603798,LINCOLN,NE,68509,LANCASTER,United States of America,Other Health Organization,State Government,$0 ,2017
EAST-CENTRAL DISTRICT HEALTH DEPT,49717502,COLUMBUS,NE,686017233,PLATTE,United States of America,Health Department,County Government,"$2,951,097 ",2017
"NEW JERSEY INNOVATION INSTITUTE, INC.",79690412,NEWARK,NJ,7102,ESSEX,United States of America,Other Health Organization,State Government,"$11,389,599 ",2017
LANCASTER COUNTY HEALTH DEPARTMENT,51259786,LINCOLN,NE,68510,LANCASTER,United States of America,Health Department,County Government,"$70,000 ",2017
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,175941483,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$2,164,546,349 ",2017
KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,878195098,TOPEKA,KS,666121368,SHAWNEE,United States of America,Health Department,State Government,"$2,755,525 ",2017
"UNIVERSITY OF KANSAS, MEDICAL CENTER",16060860,KANSAS CITY,KS,66160,WYANDOTTE,United States of America,Hospital,State Government,"($125,700)",2017
County of Allen,83123703,IOLA,KS,66749,ALLEN,United States of America,Other Health Organization,State Government,"$263,080 ",2017
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$653,727 ",2017
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,625227608,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$206,000 ",2017
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,784115669,WILMINGTON,DE,19804,NEW CASTLE,United States of America,Health Department,State Government,"$100,000 ",2017
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",103989187,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$59,070,905 ",2017
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134632624,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$12,567,652 ",2017
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",134776967,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$58,831,660 ",2017
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",625227608,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$8,804,443 ",2017
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",784115669,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,$0 ,2017
"HEALTH AND SOCIAL SERVICES, DELAWARE DEPARTMENT OF",787066583,NEW CASTLE,DE,197201160,NEW CASTLE,United States of America,Health Department,State Government,"$1,466,484,776 ",2017
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,70596341,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,$0 ,2017
DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,103989187,NEW CASTLE,DE,19720,NEW CASTLE,United States of America,Health Department,State Government,"$8,107,209 ",2017
Delaware Health Care Commission,103989187,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,"$50,998 ",2017
Delaware Health Care Commission,137676875,DOVER,DE,199013637,KENT,United States of America,Other Health Organization,State Government,"$420,000 ",2017
"OWENSVILLE PRIMARY CARE, INC",69398212,WEST RIVER,MD,207789998,ANNE ARUNDEL,United States of America,Other Health Organization,County Government,"$1,227,841 ",2017
MD ST DEPARTMENT OF HEALTH & MENTAL HYGIENE,143148679,WESTOVER,MD,21871,SOMERSET,United States of America,Health Department,State Government,"$2,088,914 ",2017
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,144676566,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"$12,306,488 ",2017
HENRY M JACKSON FDN FOR ADVANCEMENT OF MILITARY MED,660995288,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"$462,203 ",2017
Association of State and Territorial Public Health Nutr,141079603,TUCSON,AZ,857407094,APACHE,United States of America,Health Department,State Government,"$1,121,000 ",2017
WORCESTER COUNTY HEALTH DEPARTMENT,792865131,SNOW HILL,MD,21863,WORCESTER,United States of America,Health Department,County Government,"$525,000 ",2017
BALTIMORE CITY HEALTH DEPARTMENT,961539228,BALTIMORE,MD,212023418,**BALTIMORE CITY,United States of America,Health Department,City Government,"$30,430,204 ",2017
ANNE ARUNDEL COUNTY HEALTH DEPARTMENT,69073922,ANNAPOLIS,MD,21401,ANNE ARUNDEL,United States of America,Health Department,County Government,$0 ,2017
MONTGOMERY COUNTY HEALTH AND HUMAN SERVICES,62014378,ROCKVILLE,MD,20850,MONTGOMERY,United States of America,Health Department,County Government,"$999,721 ",2017
PRINCE GEORGES COUNTY HEALTH DEPARTMENT,58592189,LARGO,MD,20774,PRINCE GEORGE'S,United States of America,Health Department,County Government,$0 ,2017
"HEALTH, MARYLAND DEPARTMENT OF",42426812,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$810,540 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",78474712,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"($868,348)",2017
"HEALTH, MARYLAND DEPARTMENT OF",79175393,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$200,000 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",134104855,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$49,986,493 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",135218621,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$13,506,278 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",143148679,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$73,257,822 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",144280372,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$20,038,004 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",153501114,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$17,964,018 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",614531549,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$8,350,654 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",614531796,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$7,527,902,486 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",808285147,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"($1,305,367)",2017
"HEALTH, MARYLAND DEPARTMENT OF",878894849,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"$6,206,300 ",2017
"HEALTH, MARYLAND DEPARTMENT OF",967509576,BALTIMORE,MD,21201,BALTIMORE,United States of America,Health Department,State Government,"($7,498)",2017
MD ST DRUG ABUSE ADMINISTRATION,616163721,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,"$195,404 ",2017
MD ST MENTAL HYGIENE ADMINISTRATION,135218621,BALTIMORE,MD,21201,**BALTIMORE CITY,United States of America,Other Health Organization,State Government,"$1,271,101 ",2017
WALTER REED ARMY MEDICAL CENTER,129615428,WASHINGTON,DC,20012,DISTRICT OF COLUMBIA,United States of America,Hospital,Federal Government,"$1,434,531 ",2017
DC DEPARTMENT OF HEALTH CARE FINANCE,14384031,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,$0 ,2017
DC DEPARTMENT OF HEALTH CARE FINANCE,106731248,WASHNINGTON,DC,20001,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$28,816,800 ",2017
"DC DEPT of Health, Addiction Prevention&Recovery Admin.",106731248,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,United States of America,Health Department,State Government,"$743,251 ",2017
DC ST Dept of Behavioral Health,14384031,WASHINGTON,DC,200023320,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$9,015,999 ",2017
VA DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,809740541,HENRICO,VA,232295019,HENRICO,United States of America,Other Health Organization,State Government,"$33,926,157 ",2017
VA ST DEPT OF GENERAL SERVICES,809740665,RICHMOND,VA,23219,**RICHMOND,United States of America,Other Health Organization,State Government,"$1,643,520 ",2017
"BLAND COUNTY MEDICAL CLINIC, INC",796064582,BASTIAN,VA,243144547,BLAND,United States of America,Other Health Organization,County Government,"$1,879,881 ",2017
VA ST DEPARTMENT OF MEDICAL ASSISTANCE SERVICES,809740459,RICHMOND,VA,232191856,**RICHMOND,United States of America,Other Health Organization,State Government,"$4,039,995 ",2017
VA ST DEPARTMENT OF MEDICAL ASSISTANCE SERVICES,809740467,RICHMOND,VA,232191856,**RICHMOND,United States of America,Other Health Organization,State Government,"$5,074,862,601 ",2017
The City of Bristol Virginia,74914581,BRISTOL,VA,24201,**BRISTOL,United States of America,Other Health Organization,State Government,$0 ,2017
FAIRFAX COUNTY HEALTH SERVICES,74837626,FAIRFAX,VA,22030,**FAIRFAX,United States of America,Health Department,County Government,"$42,876 ",2017
Henrico County,74735515,HENRICO,VA,232282745,HENRICO,United States of America,Health Department,County Government,"$380,473 ",2017
RICHMOND CITY DEPARTMENT OF PUBLIC HEALTH,3133840,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,City Government,"$680,250 ",2017
VA Dept of Behavioral Health and Developmental Services,627383102,RICHMOND,VA,232181797,**RICHMOND,United States of America,Health Department,State Government,"$76,858,686 ",2017
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$2,470,256 ",2017
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$20,972,496 ",2017
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$18,280,078 ",2017
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$517,225 ",2017
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,232193623,**RICHMOND,United States of America,Health Department,State Government,"$1,930,489 ",2017
VA ST DEPARTMENT OF HEALTH,626153022,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$20,851,979 ",2017
VA ST DEPARTMENT OF HEALTH,787082825,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$19,288,615 ",2017
VA ST DEPARTMENT OF HEALTH,809740459,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$27,774,839 ",2017
VA ST DEPARTMENT OF HEALTH,949931190,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$309,288 ",2017
VA ST DEPARTMENT OF HEALTH,968124552,RICHMOND,VA,23219,**RICHMOND,United States of America,Health Department,State Government,"$27,004,520 ",2017
MID-OHIO VALLEY HEALTH DEPARTMENT,82958349,PARKERSBURG,WV,26101,WOOD,United States of America,Health Department,County Government,"$64,320 ",2017
"ROANE COUNTY FAMILY HEALTH CARE, INC",34937982,SPENCER,WV,25276,ROANE,United States of America,Other Health Organization,County Government,"$1,135,358 ",2017
WV ST DEPT HLTH & HUMAN RESOURCE,37462715,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$3,256,043,886 ",2017
WV ST DEPT HLTH & HUMAN RESOURCE,148040327,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$249,428,580 ",2017
WV ST DEPT HLTH & HUMAN RESOURCE,824700611,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$2,406,864 ",2017
WV ST DEPT HLTH & HUMAN RESOURCE,928403682,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$60,832,272 ",2017
"Health And Human Resources, West Virginia Department Of",140779708,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$44,394,649 ",2017
"Health And Human Resources, West Virginia Department Of",618137715,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$13,053,195 ",2017
"Health And Human Resources, West Virginia Department Of",625364849,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,$0 ,2017
"WV ST DEPARTMENT OF HEALTH, ALCOHOL & DRUG ABUSE PROG",140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$725,573 ",2017
Jackson County Health Department,861071926,RIPLEY,WV,25271,JACKSON,United States of America,Health Department,County Government,"$125,000 ",2017
WEST VIRGINIA DEPARTMENT OF HEALTH,140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"($319,046)",2017
WEST VIRGINIA DEPARTMENT OF HEALTH,618137715,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$11,484,761 ",2017
"GREENE COUNTY HEALTH CARE, INC",82369166,SNOWHILL,NC,28580,GREENE,United States of America,Other Health Organization,County Government,"$7,767,654 ",2017
"NC ST DEPT OF HEALTH AND HUMAN SRV, DIV OF  MH,DD,SAS",809785363,RALEIGH,NC,276993001,WAKE,United States of America,Other Health Organization,State Government,"$1,560,937 ",2017
CLEVELAND COUNTY HEALTH DEPARTMENT,879924850,SHELBY,NC,28150,CLEVELAND,United States of America,Health Department,County Government,"$125,000 ",2017
